method name: freqs			
corpus: parlamint51_si			
subcorpus: -			
concordance size: 869			
"query: Query:([lemma=""""naš""""][]{1,3}[lemma=""""vaš""""])|([lemma=""""vaš""""][]{1,3}[lemma=""""naš""""])within<s/>"			
speech.subcorpus	Frequency	Relative density	Relative in text types
Referenčni	732	95.82904	10.19491
COVID	133	133.83529	14.23825
COVID,Vojna	4	69.39813	7.38302
Parliamentary body	Frequency	Relative density	Relative in text types
Spodnji dom	869	100	10.63864
speech.date	Frequency	Relative density	Relative in text types
2011-04-21	2	186.92291	19.88605
2019-10-07	2	212.63642	22.62162
2012-12-05	2	182.26715	19.39074
2019-05-17	2	309.66921	32.94459
2019-03-27	2	284.21495	30.2366
2017-10-11	2	351.9432	37.44196
2018-11-27	2	320.58454	34.10583
2018-12-20	2	195.62533	20.81187
2007-10-29	2	250.11839	26.60919
2018-12-17	2	290.25751	30.87945
2018-12-05	2	237.42909	25.25922
2018-10-11	2	364.88099	38.81837
2013-09-24	2	227.12816	24.16334
2007-11-26	2	116.38044	12.38129
2016-10-20	2	241.22204	25.66274
2003-10-02	2	252.23596	26.83447
2012-11-06	2	292.28374	31.09501
2012-05-11	2	304.75462	32.42174
2011-10-18	2	175.71502	18.69369
2011-07-15	2	213.60768	22.72495
2011-04-18	2	485.73491	51.67558
2011-01-10	2	337.91204	35.94924
2010-11-23	2	200.42643	21.32264
2007-03-09	2	723.80542	77.00304
2010-06-15	2	334.23529	35.55808
2010-05-26	2	216.24163	23.00516
2010-03-04	2	244.57683	26.01964
2007-03-29	2	228.95661	24.35787
2009-05-26	2	176.94384	18.82442
2009-05-15	2	256.31116	27.26802
2008-06-03	2	198.67893	21.13673
2008-04-25	2	337.96671	35.95506
2008-04-23	2	254.24863	27.04859
2008-01-29	2	201.96816	21.48666
2007-05-28	2	442.48454	47.07433
2007-03-06	2	252.65631	26.87919
2006-11-17	2	355.64507	37.83579
2006-06-21	2	206.98028	22.01988
2006-06-19	2	489.21094	52.04538
2006-05-29	2	278.98905	29.68064
2003-10-01	2	349.65867	37.19892
2013-03-04	1	816.22951	86.83571
2017-02-13	1	197.61798	21.02386
2001-06-19	1	280.71372	29.86412
2013-04-22	1	232.64278	24.75002
2019-03-26	1	281.83315	29.98321
2013-05-22	1	238.08762	25.32928
2004-03-29	1	98.79964	10.51094
2013-05-31	1	743.41182	79.0889
2013-04-02	1	490.30823	52.16212
2013-06-07	1	178.39965	18.97929
2014-12-19	1	118.85415	12.64446
2016-04-18	1	212.59554	22.61727
2013-09-25	1	156.68254	16.66889
2019-06-20	1	148.65415	15.81478
2013-09-26	1	308.40931	32.81055
2013-10-24	1	126.48114	13.45587
2002-06-13	1	248.49179	26.43614
2013-11-18	1	158.42278	16.85403
2009-05-14	1	291.6806	31.03084
2013-12-13	1	100.20894	10.66087
2016-10-17	1	174.46266	18.56045
2006-11-02	1	167.01965	17.76862
2014-03-05	1	104.82079	11.1515
2014-03-06	1	218.45033	23.24014
2009-05-20	1	145.40489	15.4691
2014-03-27	1	113.39831	12.06404
2013-12-20	1	189.5177	20.1621
2014-04-29	1	191.0974	20.33016
2014-05-14	1	149.36516	15.89042
2006-11-16	1	87.58164	9.31749
2001-01-31	1	272.06863	28.9444
2011-06-16	1	117.27342	12.4763
2006-02-13	1	137.82954	14.66319
2006-03-31	1	212.94713	22.65467
2015-03-25	1	158.34806	16.84608
2013-10-21	1	170.86013	18.17719
2015-03-30	1	180.27462	19.17877
2015-05-22	1	200.52691	21.33333
2015-07-10	1	91.20254	9.70271
2015-07-15	1	97.6298	10.38648
2017-10-16	1	186.45017	19.83576
2009-03-04	1	131.55632	13.9958
2015-09-22	1	166.74707	17.73962
2017-04-20	1	106.50614	11.3308
2015-09-29	1	183.19072	19.489
2002-10-24	1	149.22763	15.87579
2015-03-27	1	149.4982	15.90457
2015-11-04	1	205.413	21.85315
2009-10-05	1	173.84958	18.49523
2015-03-31	1	103.30021	10.98974
2015-11-23	1	141.10484	15.01163
2016-02-28	1	142.62714	15.17359
2016-02-29	1	128.88836	13.71197
2015-12-17	1	120.97736	12.87034
2002-05-29	1	217.57052	23.14654
2016-06-15	1	85.93382	9.14219
2018-02-12	1	188.09932	20.01121
2010-06-17	1	114.72281	12.20495
2016-10-18	1	83.2259	8.8541
2021-12-13	1	189.69746	20.18123
2005-05-18	1	195.13596	20.75981
2015-01-26	1	164.12955	17.46115
2015-09-21	1	147.36304	15.67742
2021-09-21	1	139.06938	14.79509
2019-05-21	1	99.43404	10.57843
