method name: freqs			
corpus: janes			
subcorpus: -			
concordance size: 2499			
"query: Query:([lemma=""""naš""""][]{1,3}[lemma=""""vaš""""])|([lemma=""""vaš""""][]{1,3}[lemma=""""naš""""])within<s/>"			
group.type	Frequency	Relative density	Relative in text types
Duh, ki živi	1	1010.80879	99.88014
KDO JE UNIČIL DRŽAVO SLO?	1	11461.17509	1132.50283
JANŠA IN VSI NJEGOVI DRŽAVNI UDARI!	1	2104.43286	207.94344
Grims in njegov zavrnjeni zahtevek	1	6389.02627	631.31313
Izjave o lojalnosti knezje-škofa	1	7157.15531	707.21358
REVOLUCIJA V GLAVI!	1	2699.44455	266.7378
Izguba	1	44582.45642	4405.28634
Vrnimo &#34;deželi&#34; ponos	1	3918.00914	387.14673
Slovenski politiki in elita letijo visoko in poceni….., b…	1	6865.81927	678.42605
Zaimki	1	210837.86681	20833.33333
Oto	1	24743.80833	2444.98778
Tabu tema	1	2372.8529	234.46659
RESETIRATI ZAKONODAJO!	1	2510.59727	248.0774
Proti obsodbi REVOLUCIJE!	1	787.38175	77.80285
Rešitev - povečajmo novinarstvo... ...zakaj prihaja do krat…	1	2174.98767	214.91511
Sodba z dne 05.06.2013	1	4534.14767	448.02867
Mir	1	8363.8162	826.44628
Kazenski zakonik	1	17211.25443	1700.68027
KAJ SE GREDO GOSPODJE PRI VTA	1	6103.87069	603.13631
Fašistična lustracija	1	6041.92096	597.01493
Dobro jutro Slovenija!	1	20569.54798	2032.52033
Isra el	1	33846.88163	3344.48161
Krščanska mentalna okupacija	1	1114.43867	110.12003
KATOLIŠKA AKCIJA	1	11282.29388	1114.8272
Moj predlog ob morebitni spremembi Ustave RS	1	37621.62679	3717.47212
EM: APOKALIPSA SLOVENSKEGA VSTAJNIŠTVA?	1	2303.19017	227.58307
O, pa ti si naša	1	3277.27254	323.8342
Zdravstvene posvetovalnice Hujšanje tako in drugače Ura…	1	249.42003	24.64572
Desničarska &#34;logika&#34;	1	14075.40696	1390.82058
Draga Domovina	1	11592.46003	1145.47537
ALI SO TO ŽE ČASI, KO ŽIVI ZAVIDAJO MRTVIM?	1	7086.98712	700.28011
SLOVENISTAN - PRAVNOMEDIJSKI DREKAČI	1	2359.02508	233.10023
Za kaj se sploh gre?	1	8634.99796	853.24232
Alenka Bratušek je volk iz Rdeče kapice	1	13263.71901	1310.61599
Titov prvi &#34;Ne!&#34;	1	2286.53809	225.93764
Moja Mura 2013	1	2841.1616	280.74116
Zdravstvene posvetovalnice Pediatrija Neonatologija	1	71.57257	7.07224
Spisek	1	4560.71095	450.65345
Slovenski neoliberalizem	1	12120.02109	1197.60479
Moderni templarji	1	10284.77399	1016.26016
Verouk v šolah	1	18039.60358	1782.53119
Mesićeva izjava in njeno povzemanje.......	1	4257.55894	420.69836
Izdajalski škof Rožman - moj pogled	1	688.54386	68.03647
Ali je Majerju dokončna delitev naroda uspela?	1	3749.61749	370.5076
Triumviratu Solidarnosti na pot	1	4731.28453	467.50818
Kaj v resnici maši žile?	1	2497.58579	246.79171
STANJE DUHA IN POLITIKE V SLOVENIJI	1	8731.85298	862.81277
PTUJSKI RDEČI LÜK	1	11740.39166	1160.09281
ŽižekŽižek	1	794.86472	78.54226
Onkologija Rak debelega črevesa in danke	1	336.18635	33.21928
CINIZMI ALI CERIZMI	1	17661.81083	1745.2007
Arsen Dedić † 17. avgust 2015, Zagreb	1	17943.64824	1773.04965
KPK + Štefanec et al = farsa na kvadrat	1	16402.29758	1620.74554
Ni daleč...	1	4090.62959	404.20372
SMC ali država prijazna politikom	1	4489.89246	443.65572
Idrija- Terenske vaje	1	10411.74651	1028.80658
Dan družine	1	22589.77144	2232.14286
Pogled skozi okno - roman	1	104.1614	10.29241
Bevški župnik volivce opozarjal na smrtni greh	1	2612.34321	258.13113
Prekop	1	2771.14392	273.82256
Depra	1	841.87818	83.18775
Opanke se ponovno vračajo v modo	1	18333.72755	1811.5942
Zdravstvene posvetovalnice Interna medicina Kardiologija	1	36.7647	3.6328
Starševstvo in medsebojni odnosi Porod po meri ženske	1	82.78026	8.17969
ABC Med.Over.Net O Med.Over.Net	1	287.74324	28.43252
Dom, tehnika in prosti čas Domače živali	1	54.47802	5.38309
Zdravstvene posvetovalnice Kirurgija Urologija	1	77.75213	7.68285
Dom, tehnika in prosti čas Politični čvek	1	72.60465	7.17422
Lepota, nega in stil Transplantacijska medicina Darovan…	1	433.95299	42.87981
Zdravstvene posvetovalnice Onkologija Limfom in levkemi…	1	98.65875	9.74868
Starševstvo in medsebojni odnosi Sex v mestu	1	180.04301	17.79043
A.com Vozila prihodnosti	1	3.77746	0.37326
A.com Avtokozmetika	1	21.29841	2.10454
Ostalo Zabavni kotiček	1	7.47155	0.73828
Vprašanja &amp; odgovori Nebo in Zemlja	1	123.69031	12.2221
A.com Tuning	1	7.35737	0.727
Vprašanja &amp; odgovori Živa sila	1	31.03819	3.06695
text.type	Frequency	Relative density	Relative in text types
tweet	1091	72.89957	7.20336
post	1078	167.01088	16.5027
comment	330	92.44897	9.13508
text.lang	Frequency	Relative density	Relative in text types
slv	2468	107.16083	10.58879
hbs	27	142.93681	14.12389
eng	3	1.88457	0.18622
und	1	5.60459	0.5538
text.source	Frequency	Relative density	Relative in text types
private	2137	99.5219	9.83397
corporate	362	102.91897	10.16964
text.sex	Frequency	Relative density	Relative in text types
male	1860	118.4994	11.70918
neutral	363	101.22628	10.00238
female	276	48.35587	4.77815
text.sentiment	Frequency	Relative density	Relative in text types
positive	1056	180.74198	17.8595
negative	808	75.04687	7.41554
neutral	635	75.76832	7.48683
Technical standardness	Frequency	Relative density	Relative in text types
T1	2032	129.30692	12.77709
T2	378	50.59613	4.99951
T3	89	49.32048	4.87346
Linguistic standardness	Frequency	Relative density	Relative in text types
L1	1940	155.82875	15.39777
L2	515	51.09582	5.04889
L3	44	17.87648	1.76641
text.year	Frequency	Relative density	Relative in text types
2014	592	90.66788	8.95908
2013	414	121.65622	12.02111
2015	340	70.19537	6.93615
2016	271	74.77868	7.38904
2012	255	280.09122	27.6764
2011	212	236.61286	23.38021
2010	159	191.20748	18.89361
2017	115	82.74209	8.17592
2009	98	136.72912	13.51049
2008	20	36.93038	3.64917
2003	6	40.44067	3.99603
2004	5	20.55906	2.03148
2006	4	14.66996	1.44957
2005	4	17.49141	1.72836
2007	4	11.48799	1.13515
text.month	Frequency	Relative density	Relative in text types
2014-08	69	129.07377	12.75405
2014-09	63	84.06915	8.30705
2013-12	62	132.65976	13.10839
2014-01	62	112.77072	11.14311
2014-07	60	89.70732	8.86417
2014-03	56	94.86234	9.37355
2013-10	54	115.55171	11.41791
2014-05	52	101.82509	10.06155
2013-09	51	104.21421	10.29763
2014-02	47	87.84188	8.67984
2014-06	47	75.67062	7.47717
2013-11	47	122.67867	12.12214
2014-04	44	116.46024	11.50768
2013-08	43	102.76628	10.15455
2012-02	42	608.97124	60.17373
2015-11	40	91.7007	9.06114
2015-06	39	101.47183	10.02665
2016-01	38	107.52189	10.62446
2014-10	35	70.633	6.9794
2013-06	34	104.02272	10.2787
2015-12	32	73.36212	7.24907
2015-03	32	88.83157	8.77763
2015-09	32	72.65145	7.17884
2015-05	31	70.48316	6.96459
2014-12	31	69.11844	6.82974
2011-12	30	344.02343	33.99368
2012-03	30	416.91709	41.19645
2016-06	29	98.54589	9.73753
2016-03	28	82.07387	8.10989
2015-01	28	71.43306	7.05845
2016-05	27	83.26006	8.2271
2015-04	26	62.66886	6.19244
2013-05	26	281.92015	27.85712
2012-06	26	373.01307	36.85821
2014-11	26	58.07155	5.73817
2017-02	24	97.48124	9.63233
2011-11	24	304.67709	30.10578
2016-11	24	86.61184	8.5583
2015-08	24	63.22215	6.24711
2017-03	23	88.13494	8.7088
2011-02	23	282.56513	27.92086
2010-11	23	298.63184	29.50844
2017-01	23	83.5932	8.26002
2015-10	23	50.92194	5.0317
2013-07	23	64.21183	6.34491
2011-09	22	243.52965	24.06368
2016-02	21	64.94801	6.41765
2012-10	21	294.99274	29.14885
2016-10	21	74.47921	7.35945
2011-10	21	319.33851	31.55451
2012-05	20	294.03424	29.05414
2016-04	20	62.02906	6.12922
2016-07	20	68.96667	6.81474
2012-04	20	289.89576	28.64521
2013-04	20	218.27631	21.56834
2012-07	20	311.98552	30.82795
2015-02	20	59.25762	5.85537
2017-04	20	92.9144	9.18107
2013-03	20	208.92015	20.64384
2016-09	19	67.45209	6.66508
2013-02	19	202.48172	20.00765
2011-05	19	324.11117	32.02611
2011-01	19	216.60668	21.40336
2010-09	18	258.91812	25.58424
2012-01	18	217.53019	21.49462
2012-11	17	203.12293	20.071
2012-12	17	191.89248	18.9613
2010-02	17	239.5121	23.66669
2017-05	16	69.13484	6.83136
2011-06	16	250.93911	24.79582
2010-01	16	226.51963	22.38288
2013-01	15	126.07962	12.45819
2010-03	15	183.47887	18.12993
2016-12	15	58.86083	5.81616
2010-12	14	191.62905	18.93527
2010-10	14	187.51388	18.52864
2012-09	13	135.0849	13.34802
2015-07	13	35.06646	3.46499
2011-07	12	177.45376	17.53458
2010-07	11	207.32049	20.48577
2012-08	11	144.32132	14.26069
2009-03	11	192.28127	18.99972
2009-04	11	190.08933	18.78313
2009-11	11	155.96483	15.41121
2010-04	10	155.87719	15.40255
2011-03	10	121.06334	11.96252
2009-08	10	158.87362	15.69864
2009-07	10	214.05946	21.15167
2017-06	9	55.9456	5.5281
2011-08	9	127.71656	12.61994
2010-05	9	137.86615	13.62284
2009-06	9	168.21362	16.62154
2016-08	9	32.19406	3.18116
2010-06	8	136.22882	13.46106
2009-05	8	154.54843	15.27126
2011-04	7	113.42502	11.20776
2009-12	7	106.48809	10.52231
2009-02	6	113.03128	11.16886
2009-10	6	90.27808	8.92057
2009-09	5	82.96484	8.19793
2008-12	5	101.31869	10.01151
2010-08	4	55.00619	5.43528
2009-01	4	56.60124	5.59289
2008-01	3	66.72084	6.59283
2008-11	3	61.23902	6.05116
2008-09	3	63.23832	6.24871
2005-11	2	146.44061	14.4701
2004-08	2	85.59952	8.45827
2003-08	2	149.16784	14.73959
2003-02	2	176.59037	17.44927
2008-02	2	48.63139	4.80537
2004-07	2	99.09201	9.79149
2007-07	2	79.57647	7.86312
2006-04	1	42.27538	4.17732
2008-08	1	22.43836	2.21718
2005-08	1	66.62289	6.58315
2006-02	1	37.17907	3.67374
2005-06	1	44.37913	4.3852
2003-04	1	89.84568	8.87784
2004-09	1	55.86867	5.5205
2006-08	1	43.62746	4.31092
2007-11	1	23.68405	2.34027
2006-12	1	45.10042	4.45647
2008-03	1	24.92947	2.46333
2003-06	1	99.65258	9.84688
2008-06	1	21.13963	2.08885
2008-05	1	20.03476	1.97968
2007-02	1	43.65644	4.31378
text.date	Frequency	Relative density	Relative in text types
2014-08-09	15	1780.64168	175.94895
2013-12-14	14	807.78489	79.81893
2014-07-10	13	479.48957	47.37937
2014-09-05	13	466.02751	46.04916
2012-02-27	12	4401.52989	434.92443
2014-10-01	12	548.27116	54.17583
2014-09-07	11	594.22651	58.71677
2013-10-18	11	744.8257	73.59779
2014-08-17	9	517.04403	51.09021
2014-03-29	9	645.91637	63.82436
2014-08-27	9	348.77258	34.46295
2014-07-02	8	318.98185	31.51927
2014-08-19	8	361.58162	35.72864
2013-12-15	8	485.09713	47.93347
2014-01-08	8	414.58249	40.96577
2017-03-08	8	788.30173	77.89375
2012-02-09	8	2773.4222	274.04768
2011-12-03	8	4356.06052	430.43151
2012-06-13	8	3228.52577	319.01743
2014-05-09	8	560.72347	55.40627
2011-09-24	8	4308.3089	425.71307
2014-01-20	7	360.09517	35.58176
2011-06-10	7	3975.84034	392.86115
2011-02-05	7	2764.97886	273.21338
2013-08-29	7	459.83969	45.43773
2014-02-12	7	307.01616	30.33691
2011-01-13	7	2025.7799	200.17158
2013-10-09	6	371.96426	36.75457
2009-08-15	6	2102.46548	207.74904
2016-01-14	6	447.43428	44.21192
2013-09-23	6	331.34327	32.74073
2014-04-13	6	1080.02749	106.71979
2013-05-07	6	1443.27119	142.61266
2013-08-23	6	432.67283	42.75331
2013-09-26	6	373.41221	36.89765
2010-11-13	6	3334.13714	329.45311
2014-01-27	6	316.00169	31.22479
2011-10-25	6	1940.72186	191.76681
2011-12-25	6	3935.2758	388.85288
2014-03-20	6	286.46584	28.30629
2012-11-11	6	1788.76173	176.75131
2013-06-06	6	544.48803	53.80201
2012-03-12	6	2245.77652	221.9099
2011-12-11	6	650.16977	64.24464
2012-06-06	6	3159.77029	312.22355
2016-01-30	5	486.5115	48.07323
2016-10-18	5	443.0802	43.78169
2016-01-08	5	417.90415	41.29399
2012-02-19	5	1769.57818	174.85574
2015-06-11	5	307.918	30.42603
2010-10-06	5	1519.91734	150.18623
2013-11-03	5	420.04107	41.50514
2017-02-21	5	549.89826	54.3366
2013-12-21	5	631.84227	62.43366
2015-11-13	5	331.45396	32.75166
2012-02-23	5	2376.97708	234.87411
2012-02-10	5	1799.1498	177.77778
2010-01-12	5	1912.21707	188.95019
2010-11-30	5	1839.50444	181.7653
2014-02-27	5	226.12283	22.34367
2014-09-16	5	195.08327	19.27659
2016-05-09	5	490.00724	48.41865
2017-04-11	5	580.10809	57.3217
2016-06-03	5	446.78505	44.14777
2011-10-04	5	2192.61149	216.65656
2014-07-20	5	360.26292	35.59834
2010-12-12	5	2238.58999	221.19979
2011-09-07	5	1582.56984	156.37706
2013-09-18	5	185.64846	18.34432
2015-06-10	5	336.11042	33.21178
2014-05-19	5	252.27762	24.92808
2015-08-15	5	577.51932	57.0659
2013-09-13	5	306.06854	30.24328
2010-09-30	5	2109.96114	208.4897
2014-05-20	5	265.82484	26.26671
2012-05-23	5	2503.64099	247.39004
2012-04-07	5	1144.53616	113.09403
2011-03-13	5	2276.86681	224.982
2009-03-30	5	2055.53431	203.11167
2012-04-28	5	4871.10975	481.32461
2011-11-02	5	1822.7401	180.10879
2012-12-12	5	1495.08312	147.73231
2013-12-11	5	292.90156	28.94222
2014-08-18	5	285.81242	28.24173
2015-04-30	5	368.10161	36.37289
2011-11-14	4	1396.18095	137.95958
2014-12-16	4	234.29277	23.15096
2012-03-03	4	2219.2243	219.28622
2014-12-03	4	245.58568	24.26684
2014-10-15	4	203.32235	20.09071
2015-11-12	4	276.95703	27.36671
2013-11-02	4	319.974	31.6173
2013-06-23	4	392.59126	38.79277
2015-11-10	4	222.89387	22.02461
2015-05-12	4	286.64097	28.3236
2012-02-14	4	2079.35435	205.46538
2013-09-20	4	193.91383	19.16103
2013-06-04	4	400.65789	39.58985
2013-06-11	4	406.20198	40.13767
2010-04-10	4	3013.98782	297.81848
2013-10-29	4	240.67391	23.7815
2015-12-04	4	270.02368	26.68161
2014-03-10	4	223.26513	22.0613
2015-10-06	4	300.41462	29.6846
2014-05-23	4	297.59	29.40549
2016-04-18	4	355.98219	35.17535
2014-02-04	4	201.32425	19.89327
2014-04-16	4	526.95744	52.06977
2011-11-05	4	1665.87944	164.60905
2012-10-11	4	1596.06003	157.71005
2012-05-10	4	1661.91274	164.21709
2014-09-09	4	123.5993	12.21311
2014-11-02	4	348.0878	34.39529
2015-02-09	4	272.92008	26.96781
2014-07-03	4	170.26439	16.82418
2011-09-17	4	1465.58309	144.81735
2013-11-12	4	465.00874	45.94849
2011-12-18	4	1682.07722	166.20959
2013-03-26	4	1082.6657	106.98048
2016-12-14	4	394.85057	39.01602
2014-04-27	4	416.20866	41.12645
2014-07-17	4	195.87297	19.35462
2015-01-28	4	187.84016	18.56088
2011-06-14	4	1764.02608	174.30713
2014-03-04	4	204.22708	20.18011
2012-09-26	4	1096.18106	108.31596
2014-01-31	4	205.50856	20.30673
2016-11-15	4	428.369	42.32804
2014-06-18	4	162.55093	16.062
2012-01-29	4	2482.27069	245.27839
2015-03-09	4	231.84654	22.90925
2014-05-14	4	191.97165	18.96912
2014-06-20	4	142.79823	14.11019
2011-05-23	4	1810.33364	178.88288
2013-05-20	4	1503.63533	148.57737
2012-03-28	4	1873.94086	185.16804
2012-03-20	4	1367.366	135.11231
2012-10-29	4	1615.35796	159.61692
2014-12-25	4	386.55555	38.19637
2013-02-26	4	1427.29252	141.03378
2012-03-29	4	1997.37852	197.36517
2013-05-02	4	1118.50327	110.52166
2011-04-11	4	1124.28124	111.0926
2012-01-13	4	908.92674	89.81296
2010-04-22	4	1877.33017	185.50294
2012-04-22	4	2250.43754	222.37047
2010-05-22	4	2933.60899	289.87608
2015-06-02	4	261.63785	25.85299
2014-01-10	4	212.76159	21.02342
2012-07-30	4	2131.35736	210.60391
2013-12-09	4	209.27593	20.67899
2011-02-15	4	1373.25702	135.69442
2012-11-19	4	1921.16513	189.83437
2014-04-07	4	220.86659	21.82429
2012-10-21	4	1647.10381	162.75379
2010-09-13	4	1475.68061	145.81511
2011-09-11	4	785.68543	77.63523
2013-11-28	4	246.72325	24.37924
2012-07-22	4	1343.22827	132.72721
2013-10-23	4	225.81077	22.31284
2012-12-21	4	1222.39614	120.78753
2017-01-29	3	384.99921	38.04258
2015-11-03	3	184.88918	18.26929
2015-06-05	3	224.41166	22.17459
2013-08-21	3	192.05879	18.97773
2016-01-06	3	190.66211	18.83972
2014-02-06	3	158.78089	15.68947
2016-11-09	3	219.34511	21.67395
2014-08-11	3	264.92947	26.17824
2014-07-11	3	97.90159	9.67386
2016-03-15	3	263.72132	26.05886
2016-01-15	3	269.03309	26.58373
2016-07-10	3	344.54541	34.04526
2015-03-17	3	195.4905	19.31683
2016-07-04	3	289.45783	28.60194
2014-01-24	3	157.81113	15.59365
2013-12-23	3	204.23017	20.18041
2009-05-31	3	2316.36933	228.88533
2016-01-05	3	222.75854	22.01124
2017-01-10	3	336.01891	33.20274
2014-04-29	3	125.22129	12.37338
2014-09-06	3	125.17328	12.36863
2014-09-18	3	102.63461	10.14154
2015-05-09	3	202.44214	20.00373
2016-01-27	3	255.94669	25.29063
2014-06-05	3	146.03278	14.42981
2013-08-19	3	208.01949	20.55484
2014-05-28	3	149.81152	14.80319
2013-11-26	3	145.86299	14.41303
2015-02-06	3	164.02209	16.20737
2016-12-15	3	301.27167	29.76929
2015-05-26	3	195.68707	19.33625
2013-11-19	3	169.47625	16.7463
2013-05-27	3	1155.71575	114.19871
2014-01-14	3	147.22886	14.54799
2012-11-22	3	1114.23418	110.09982
2014-08-26	3	112.67472	11.13363
2012-10-01	3	1652.46029	163.28308
2015-10-20	3	191.10014	18.88301
2012-01-05	3	624.89766	61.74745
2010-12-02	3	1488.48619	147.08045
2013-10-22	3	173.8202	17.17554
2012-12-03	3	466.29069	46.07516
2013-06-25	3	264.29065	26.11512
2014-02-23	3	197.86919	19.55187
2017-01-13	3	266.88572	26.37154
2016-02-25	3	239.35049	23.65073
2012-09-02	3	1367.78181	135.1534
2010-02-21	3	736.96271	72.82084
2010-03-26	3	1332.3088	131.64824
2014-09-20	3	143.60147	14.18956
2013-04-13	3	1215.54441	120.1105
2013-07-24	3	320.51701	31.67096
2014-06-02	3	118.16794	11.67642
2015-09-17	3	198.47326	19.61156
2009-10-28	3	1036.23512	102.39257
2014-02-03	3	159.51083	15.7616
2013-12-04	3	166.18673	16.42126
2015-12-18	3	158.78504	15.68988
2013-12-31	3	232.77711	23.0012
2013-11-27	3	202.38546	19.99813
2014-04-28	3	151.883	15.00788
2015-01-08	3	204.76461	20.23322
2013-09-27	3	191.11819	18.88479
2015-06-18	3	227.56892	22.48656
2017-03-06	3	348.61239	34.44712
2013-07-29	3	207.98672	20.55161
2012-06-29	3	1889.04012	186.66003
2013-04-07	3	656.04937	64.82562
2014-08-22	3	134.70514	13.3105
2013-10-26	3	226.81578	22.41214
2014-06-24	3	124.96153	12.34771
2014-06-23	3	134.7757	13.31747
2014-06-14	3	177.15917	17.50547
2009-04-04	3	2623.17719	259.20166
2014-05-15	3	133.51563	13.19296
2010-12-25	3	778.95764	76.97044
2015-05-14	3	193.79841	19.14963
2016-09-05	3	281.73541	27.83887
2010-07-13	3	1890.80481	186.8344
2011-08-23	3	1820.4013	179.87768
2013-03-06	3	939.49291	92.83327
2014-01-16	3	155.6334	15.37846
2014-03-06	3	143.09318	14.13934
2013-11-23	3	217.7546	21.51679
2009-09-06	3	1415.28309	139.8471
2013-08-11	3	304.99425	30.13712
2012-07-10	3	1134.46875	112.09925
2011-05-06	3	1709.68875	168.93794
2015-04-13	3	189.88819	18.76325
2015-11-19	3	185.95365	18.37447
2013-10-24	3	165.4793	16.35136
2015-09-03	3	201.63813	19.92429
2014-03-24	3	158.17618	15.62972
2010-07-28	3	1308.085	129.25463
2011-12-06	3	1695.55751	167.54161
2011-11-03	3	1390.33076	137.38151
2014-02-20	3	134.53323	13.29351
2010-02-20	3	908.07719	89.72902
2015-03-02	3	208.6901	20.62111
2015-05-03	3	243.97236	24.10742
2012-05-14	3	1528.19514	151.00418
2016-06-08	3	279.28628	27.59686
2011-11-26	3	1693.28794	167.31735
2013-04-04	3	515.21607	50.90958
2010-02-03	3	999.79098	98.79145
2013-02-03	3	773.18493	76.40003
2013-07-15	3	234.37461	23.15905
2014-01-22	3	165.88255	16.3912
2014-05-13	3	143.68982	14.19829
2013-02-20	3	1017.1073	100.50251
2013-08-20	3	198.06411	19.57113
2011-01-21	3	1090.54069	107.75862
2014-04-18	3	484.76214	47.90037
2012-05-09	3	1166.3716	115.25163
2017-04-14	3	362.23412	35.79312
2013-01-28	3	802.66101	79.31262
2009-03-18	3	2783.08303	275.00229
2010-02-28	3	845.55932	83.5515
2011-05-11	3	1382.41749	136.59958
2009-07-23	3	2631.36183	260.0104
2009-11-01	3	1196.76191	118.25456
2013-03-14	3	966.2228	95.47451
2014-06-30	3	134.77271	13.31718
2016-06-07	3	288.64601	28.52172
2010-02-13	3	1405.19545	138.85032
2010-11-21	3	1440.12204	142.30149
2014-01-25	3	227.4973	22.47949
2011-07-12	3	1813.00925	179.14726
2012-03-31	3	1456.4957	143.91941
2013-05-12	3	1021.41881	100.92854
2009-07-21	3	1942.70878	191.96314
2015-09-22	3	182.10346	17.99403
2012-10-15	2	721.73853	71.3165
2009-06-16	2	904.07518	89.33357
2015-10-29	2	128.20951	12.66865
2016-11-21	2	205.80215	20.33574
2014-02-13	2	99.04013	9.78636
2015-03-13	2	130.61969	12.90681
2014-05-29	2	99.21296	9.80344
2016-06-26	2	242.57763	23.96961
2014-07-08	2	70.50721	6.96697
2014-11-15	2	147.50139	14.57492
2013-06-24	2	138.23073	13.65887
2017-01-08	2	237.8765	23.50508
2016-03-08	2	172.1023	17.00579
2015-05-16	2	176.10179	17.40099
2013-07-10	2	149.3164	14.75427
2017-02-17	2	199.53897	19.71687
2015-04-02	2	143.96782	14.22576
2014-12-11	2	126.86826	12.53612
2012-07-04	2	1203.71307	118.94142
2013-04-09	2	586.42431	57.94582
2016-04-29	2	187.05465	18.48326
2016-03-09	2	166.55779	16.45793
2017-04-28	2	293.97872	29.04866
2015-08-23	2	176.07575	17.39842
2014-06-12	2	87.5228	8.64831
2013-10-07	2	133.90251	13.23119
2015-12-28	2	197.01021	19.46699
2013-08-30	2	140.28094	13.86145
2016-10-15	2	230.28233	22.75468
2010-03-08	2	707.11414	69.87144
2015-11-18	2	121.04003	11.96022
2013-11-07	2	121.01904	11.95815
2013-12-06	2	127.42736	12.59137
2014-03-21	2	111.18186	10.98611
2016-06-29	2	212.24843	20.97271
2014-06-11	2	84.23091	8.32303
2016-10-13	2	178.27799	17.61602
2016-02-07	2	207.49631	20.50315
2016-11-16	2	196.3699	19.40372
2016-09-20	2	217.17205	21.45923
2015-02-01	2	150.9185	14.91258
2017-05-28	2	363.27216	35.89569
2016-09-19	2	190.86647	18.85992
2011-07-05	2	716.12069	70.76139
2009-06-09	2	733.6149	72.49003
2016-10-08	2	256.01036	25.29692
2016-05-29	2	246.90082	24.39679
2015-04-01	2	168.9547	16.69477
2013-10-10	2	116.98524	11.55956
2017-03-31	2	254.25127	25.1231
2015-11-07	2	160.20988	15.83068
2014-09-14	2	92.49472	9.1396
2015-04-21	2	123.20543	12.17419
2014-01-30	2	75.55079	7.46533
2016-07-30	2	222.80677	22.01601
2016-02-28	2	196.97378	19.46339
2013-08-18	2	161.27451	15.93587
2014-01-23	2	106.82942	10.55604
2013-09-08	2	148.41314	14.66501
2014-04-08	2	113.85935	11.25068
2016-05-31	2	174.05438	17.19868
2015-04-24	2	138.67206	13.70248
2016-12-04	2	239.10733	23.6267
2015-06-24	2	156.61002	15.47497
2015-04-22	2	128.91422	12.73829
2016-03-02	2	178.27328	17.61556
2014-06-17	2	72.2349	7.13768
2016-08-02	2	246.90684	24.39738
2013-11-18	2	149.91138	14.81306
2016-12-31	2	258.25117	25.51834
2009-12-12	2	869.28514	85.89589
2015-08-26	2	142.96314	14.12649
2017-02-11	2	280.33456	27.70045
2014-11-01	2	180.86028	17.87118
2015-09-12	2	161.01279	15.91001
2013-11-01	2	184.96747	18.27702
2013-04-16	2	812.2165	80.25682
2011-02-22	2	791.97227	78.25645
2015-09-01	2	119.95469	11.85298
2015-01-31	2	161.34136	15.94248
2013-10-08	2	130.34547	12.87971
2009-11-22	2	988.10951	97.63718
2017-02-27	2	233.6801	23.09042
2004-08-11	2	1302.22191	128.67529
2014-08-16	2	134.03019	13.24381
2013-12-20	2	135.39749	13.37891
2016-04-20	2	170.32672	16.83034
2014-09-30	2	94.43453	9.33127
2010-03-07	2	920.60562	90.96698
2014-11-20	2	117.64138	11.62439
2016-07-09	2	249.35857	24.63965
2015-01-15	2	256.11726	25.30749
2010-05-29	2	1010.30424	99.83029
2016-11-07	2	226.7277	22.40344
2013-01-13	2	477.43632	47.17649
2014-04-14	2	347.00467	34.28826
2016-09-01	2	202.9625	20.05515
2011-03-28	2	644.78466	63.71253
2010-09-15	2	751.76182	74.28317
2015-03-10	2	101.00925	9.98094
2014-07-14	2	71.8393	7.09859
2012-06-10	2	872.31975	86.19575
2015-07-14	2	154.23869	15.24065
2009-06-12	2	1276.9185	126.175
2011-02-10	2	775.58475	76.63716
2010-10-24	2	987.14569	97.54194
2016-11-26	2	242.79879	23.99146
2013-09-06	2	128.84201	12.73115
2011-05-13	2	1148.65417	113.50094
2012-07-18	2	787.81081	77.84524
2008-01-28	2	774.42743	76.5228
2015-04-26	2	171.99408	16.9951
2015-03-05	2	114.13865	11.27828
2013-08-27	2	119.4711	11.80519
2011-10-13	2	871.45592	86.11039
2012-07-02	2	977.46826	96.5857
2010-01-28	2	742.35963	73.35412
2016-05-23	2	163.53529	16.15927
2013-10-14	2	120.49599	11.90646
2016-03-19	2	229.44437	22.67188
2014-09-19	2	76.67441	7.57636
2016-09-24	2	262.04264	25.89298
2017-02-05	2	250.51904	24.75431
2014-06-26	2	88.88963	8.78337
2010-03-13	2	406.0105	40.11875
2015-02-12	2	126.72131	12.5216
2014-10-13	2	126.27149	12.47715
2011-05-05	2	568.10473	56.13562
2016-05-06	2	198.43175	19.60746
2015-12-01	2	128.60378	12.70761
2015-09-14	2	143.33571	14.1633
2014-01-07	2	99.66337	9.84795
2014-08-15	2	110.52013	10.92073
2009-05-21	2	1257.71672	124.27764
2014-01-11	2	127.69266	12.61758
2015-01-25	2	136.4398	13.4819
2015-07-20	2	141.07094	13.93952
2011-01-27	2	518.13525	51.19803
2012-02-20	2	807.06708	79.748
2015-06-01	2	140.90006	13.92263
2014-04-30	2	114.20434	11.28477
2014-03-03	2	56.1011	5.54347
2010-09-02	2	621.0437	61.36663
2016-02-24	2	169.50795	16.74944
2013-11-29	2	112.09687	11.07653
2015-03-04	2	92.39381	9.12963
2015-05-04	2	123.80228	12.23316
2014-01-17	2	113.69179	11.23412
2015-01-02	2	163.28067	16.13411
2017-01-15	2	279.15916	27.5843
2013-04-22	2	847.30556	83.72405
2010-06-17	2	804.05336	79.4502
2011-03-06	2	1379.7161	136.33265
