parlamint	grouped_parties	family
DeSUS	DeSUS	No family
LDS	LDS	Liberal
LMŠ	LMŠ	Liberal
NSi	NSi	Christian-Democratic
PS	PS	Socialist
SDS	SDS	Conservatives
SLS+SKD	SLS+SKD/SLS	Christian-Democratic
SMC	SMC/GAS/Konkretno	Liberal
SMS	SMS	No family
SNS	SNS	Radical Right
Levica + ZL	ZL/Levica	Socialist
SD + ZLSD	ZLSD/SD	Socialist
ZaAB	ZaAB/ZaSLD/SAB	No family
Zares	Zares	Liberal
