method name: freqs			
corpus: siparl40			
subcorpus: -			
concordance size: 1922			
"query: Query:([lemma=""""naš""""][]{1,3}[lemma=""""vaš""""])|([lemma=""""vaš""""][]{1,3}[lemma=""""naš""""])within<s/>"			
Legislative period (in Slovene)	Frequency	Relative density	Relative in text types
OZK-redna-4-2015-06-23.ana	1	653.89431	46.03204
OZP-026-Redna-2021-05-05.ana	1	381.87048	26.88244
OZIZSIM-nujna-24-2016-09-28.ana	1	403.09875	28.37684
Izredna-32-2008-01-22.ana	1	260.68892	18.35165
Redna-20-2016-06-15.ana	1	129.86662	9.14219
SDZ8-Izredna-05-2018-08-23.ana	1	1212.04779	85.32423
OZZP-redna-13-2015-01-21.ana	1	1030.93113	72.57421
OZNP-Redna-016-2002-01-11.ana	1	606.48963	42.6949
OZZEU-002-Nujna-2018-11-05.ana	1	708.1356	49.85045
Redna-24-2007-01-31.ana	1	178.88878	12.59319
Redna-04-2009-03-27.ana	1	335.4793	23.61665
Redna-13-2015-11-23.ana	1	213.24326	15.01163
KZPCPIEM-008-Nujna-2021-02-03.ana	1	276.75343	19.48254
KZNS-Redna-011-2010-03-11.ana	1	1365.35948	96.11688
Redna-27-2017-02-13.ana	1	298.64817	21.02386
Redna-12-1993-10-01.ana	1	372.83011	26.24603
KZOSSVZIPS-redna-3-2012-11-08.ana	1	803.09815	56.5355
Skupna-028-Redna-2019-01-25.ana	1	438.87911	30.89567
Izredna-29-2016-03-03.ana	1	242.40956	17.06485
OZFIMP-nujna-71-2013-11-09.ana	1	186.10001	13.10084
OZDDSZII-069-Nujna-2022-01-18.ana	1	691.21697	48.65943
OZZ-redna-20-2017-02-03.ana	1	537.60739	37.84582
SDZ8-Izredna-67-2021-03-24.ana	1	155.06675	10.9162
Redna-07-2012-10-25.ana	1	182.80699	12.86902
OZF-024-Redna-2020-09-08.ana	1	461.22277	32.46859
OZZP-Redna-010-2006-01-18.ana	1	390.13485	27.46423
OZZEU-redna-108-2016-12-02.ana	1	464.46508	32.69683
UK-redna-3-2016-05-25.ana	1	842.48859	59.30846
OZZ-nujna-21-2014-05-16.ana	1	346.95911	24.4248
MK-Redna-018-2006-04-19.ana	1	1371.42306	96.54373
OZZP-019-Nujna-2020-03-10.ana	1	649.61815	45.73101
OZF-057-Nujna-2021-04-22.ana	1	411.6972	28.98215
Redna-38-2004-07-09.ana	1	511.84377	36.03214
Redna-37-2008-03-27.ana	1	198.93845	14.00462
Redna-19-1994-03-30.ana	1	429.99153	30.27001
Redna-39-2008-05-19.ana	1	356.98633	25.13068
OZDDSZII-javna-1-2013-02-20.ana	1	644.43134	45.36588
Redna-08-1998-04-01.ana	1	381.39885	26.84924
SDZ8-Izredna-63-2021-03-03.ana	1	150.04014	10.56234
OZNP-Redna-017-2002-02-06.ana	1	628.15955	44.22039
SDZ8-Redna-24-2021-07-07.ana	1	301.97487	21.25805
Redna-13-2002-02-19.ana	1	443.09554	31.19249
Redna-38-1996-05-15.ana	1	1337.71542	94.17083
Redna-11-2015-09-22.ana	1	251.99482	17.73962
KZNJF-023-Nujna-2021-02-19.ana	1	388.37489	27.34033
MK-Nujna-027-2011-11-15.ana	1	1089.18878	76.67536
OZNP-Redna-028-2002-12-04.ana	1	604.75968	42.57312
SDZ8-Izredna-65-2021-03-15.ana	1	112.07966	7.89004
KZPTZCPIEM-nujna-21-2016-11-11.ana	1	547.04818	38.51042
OZIOIP-036-Nujna-2020-12-17.ana	1	874.7583	61.58015
MK-010-Redna-2019-05-16.ana	1	1652.53607	116.33318
OZKGIP-031-Nujna-2021-11-11.ana	1	454.87208	32.02152
Izredna-29-2010-09-29.ana	1	275.51349	19.39526
Redna-30-1995-04-20.ana	1	497.46805	35.02014
OZIOIP-nujna-49-2017-03-09.ana	1	295.44311	20.79824
Skupna-035-Nujna-2020-12-11.ana	1	426.04523	29.9922
OZNPJUIP-Nujna-050-2008-04-16.ana	1	790.45129	55.64521
OZG-Redna-019-2007-06-07.ana	1	1237.27899	87.10043
MK-nujna-50-2014-06-10.ana	1	2005.53439	141.18311
OZZP-Nujna-015-2005-05-12.ana	1	1373.6776	96.70245
KPDZ-redna-123-2018-03-16.ana	1	3335.33695	234.7969
OZLSIRR-Redna-005-2005-09-09.ana	1	377.37634	26.56607
OZZ-016-Redna-2021-09-30.ana	1	266.65916	18.77194
OZDDSZII-059-Nujna-2021-09-14.ana	1	822.96507	57.93407
Redna-16-1999-10-21.ana	1	372.90841	26.25154
OZKGIP-015-Redna-2020-01-15.ana	1	351.07508	24.71455
SDZ8-Redna-02-2018-11-28.ana	1	185.07681	13.02881
KKPD-Redna-022-2009-04-17.ana	1	601.83875	42.3675
MK-Redna-020-2004-04-15.ana	1	933.01807	65.68144
OZNZJUILS-redna-18-2016-04-05.ana	1	380.92838	26.81612
SDZ8-Izredna-53-2020-12-15.ana	1	143.88072	10.12874
Redna-11-2015-09-21.ana	1	222.70091	15.67742
KZPTZCPIEM-redna-7-2012-09-21.ana	1	697.73565	49.11833
SDZ8-Redna-30-2022-03-23.ana	1	239.56018	16.86426
Izredna-62-2018-04-26.ana	1	335.8918	23.64569
OZZEU-Redna-086-2011-02-25.ana	1	1128.91998	79.4723
OZZP-005-Nujna-2018-12-12.ana	1	509.12871	35.84101
OZDDSZII-008-Nujna-2018-12-10.ana	1	483.94372	34.06807
OZZ-redna-9-2014-06-05.ana	1	612.21394	43.09788
KZNJF-nujna-17-2016-06-30.ana	1	381.47054	26.85429
SDZ8-Redna-11-2019-09-25.ana	1	244.45783	17.20904
OZP-001-Nujna-2018-09-17.ana	1	616.75929	43.41785
OZNZJUILS-002-Nujna-2018-09-10.ana	1	335.93152	23.64849
OZDDSZII-001-Nujna-2018-09-06.ana	1	510.04273	35.90535
OZZEU-Nujna-036-2008-03-19.ana	1	1399.80292	98.54158
Izredna-25-2006-12-13.ana	1	366.0851	25.7712
Izredna-08-2009-03-24.ana	1	802.00994	56.4589
OZIOIP-001_1-Nujna-2018-09-05.ana	1	313.68444	22.08237
OZZ-nujna-15-2013-12-05.ana	1	791.72891	55.73515
OZZ-nujna-20-2016-05-12.ana	1	595.70578	41.93575
OZNZJUILS-001_1-Nujna-2018-09-04.ana	1	337.17541	23.73606
SO-001-Nujna-2018-07-05.ana	1	386.07382	27.17834
OZZ-nujna-45-2018-05-18.ana	1	719.25064	50.63291
Redna-26-2011-03-29.ana	1	172.81055	12.1653
Redna-10-2013-01-30.ana	1	229.56044	16.16031
OZFIMP-redna-47-2018-02-01.ana	1	567.91269	39.97921
Redna-39-2018-03-23.ana	1	254.47771	17.9144
OZMO-Redna-003-1997-02-04.ana	1	842.88851	59.33662
Redna-39-2018-03-20.ana	1	297.68436	20.95601
OZDDSZII-Redna-032-2011-06-28.ana	1	1000.1549	70.40766
Izredna-54-2018-03-07.ana	1	240.9417	16.96151
OZZEU-redna-161-2018-02-16.ana	1	969.43971	68.24541
OZFIMP-nujna-19-2015-02-17.ana	1	204.06252	14.36534
MK-Redna-011-2005-09-15.ana	1	752.43392	52.96891
Redna-38-2018-02-12.ana	1	284.26319	20.01121
OZKGIP-redna-25-2018-01-18.ana	1	353.93547	24.91591
Redna-18-2002-09-23.ana	1	414.42367	29.17408
Izredna-54-2014-02-07.ana	1	208.9922	14.71237
OZFIMP-nujna-49-2016-03-11.ana	1	203.63543	14.33527
Izredna-15-2015-06-05.ana	1	262.07406	18.44916
KZNJF-nujna-4-2015-05-27.ana	1	434.54268	30.59039
KZNPIDJF-Redna-036-2007-03-14.ana	1	555.12916	39.07929
Redna-36-2017-12-13.ana	1	152.95955	10.76786
OZO-Redna-026-2008-04-11.ana	1	1211.4276	85.28057
OZG-Redna-033-2002-11-13.ana	1	443.77382	31.24024
OZO-011-Redna-2020-09-17.ana	1	732.34006	51.55436
OZZ-nujna-35-2017-10-10.ana	1	1516.1917	106.73498
Izredna-43-2004-04-21.ana	1	341.84093	24.06449
Redna-35-2017-11-21.ana	1	282.72993	19.90327
OZDDSZII-nujna-3-2014-12-09.ana	1	883.13336	62.16972
Redna-04-2015-01-27.ana	1	165.38829	11.6428
MK-nujna-38-2013-07-11.ana	1	2684.27817	188.96447
OZZP-Nujna-007-2009-02-06.ana	1	1646.78878	115.92859
Redna-22-2016-09-20.ana	1	138.94383	9.78119
Redna-10-2015-07-10.ana	1	137.82892	9.70271
OZIOIP-nujna-68-2017-11-07.ana	1	388.4811	27.34781
OZIIO-Izredna-001-2000-11-29.ana	1	477.34131	33.60328
OZK-redna-5-2013-10-30.ana	1	294.09134	20.70308
OZIZKSIM-nujna-22-2013-03-18.ana	1	323.41143	22.76712
Redna-15-2002-04-17.ana	1	627.63222	44.18327
KZNS-redna-8-2017-09-27.ana	1	1010.61469	71.144
KZNS-redna-3-2015-09-10.ana	1	631.42641	44.45037
Redna-33-2017-09-26.ana	1	205.16776	14.44314
KZNJF-nujna-31-2017-09-14.ana	1	391.33861	27.54897
Skupna-017-Nujna-2019-12-17.ana	1	292.29408	20.57656
OZZEU-redna-72-2016-02-18.ana	1	946.13028	66.6045
Redna-10-2005-10-24.ana	1	404.51064	28.47624
Redna-20-2006-09-25.ana	1	299.34674	21.07304
Redna-32-2017-07-10.ana	1	224.75871	15.82228
Redna-16-1993-12-21.ana	1	326.8268	23.00755
KZNJF-nujna-17-2016-06-17.ana	1	1020.26862	71.8236
OZNZJUILS-nujna-52-2017-05-03.ana	1	561.31505	39.51476
Redna-29-2017-04-20.ana	1	160.95632	11.3308
OZZP-nujna-57-2014-06-11.ana	1	1334.19743	93.92317
Skupna-2014-02-13.ana	1	518.58937	36.50701
Redna-13-2010-02-02.ana	1	226.2587	15.92788
OZK-redna-7-2014-01-14.ana	1	235.63016	16.5876
KZPTZCPIEM-redna-15-2016-09-14.ana	1	490.1218	34.50298
KKPD-Redna-002-2000-12-22.ana	1	5100.61043	359.06643
OZIOIP-nujna-49-2017-03-13.ana	1	295.43696	20.7978
KZP-redna-4-2017-03-03.ana	1	581.70352	40.95004
OZZEU-redna-65-2015-12-10.ana	1	1234.37609	86.89607
OZZ-redna-4-2015-05-06.ana	1	397.55954	27.9869
OZZEU-redna-117-2017-03-02.ana	1	416.3062	29.30661
OZIZSIM-001-Nujna-2018-09-04.ana	1	423.40388	29.80626
Redna-18-2016-04-18.ana	1	321.28285	22.61727
MK-redna-29-2017-01-20.ana	1	826.46032	58.18013
OZNZJUILS-030-Nujna-2020-10-26.ana	1	320.10276	22.5342
Redna-06-2009-05-20.ana	1	219.74847	15.46958
Redna-24-2016-11-16.ana	1	124.34197	8.75327
OZKGIP-Nujna-029-2004-04-15.ana	1	986.19828	69.42516
OZG-nujna-41-2017-01-03.ana	1	656.55389	46.21926
OZNP-Redna-017-2002-02-07.ana	1	452.3805	31.84612
OZG-Redna-022-2002-03-27.ana	1	1412.74988	99.45301
KZEZ-Redna-012-2002-03-14.ana	1	2232.11817	157.13388
OZZP-redna-59-2016-10-12.ana	1	1147.24601	80.7624
KZEZ-Redna-021-1998-06-17.ana	1	1430.53374	100.70493
Redna-25-2011-03-04.ana	1	376.48618	26.50341
Redna-13-2013-04-22.ana	1	351.57905	24.75002
OZDDSZII-redna-29-2016-09-29.ana	1	315.48182	22.2089
OZZ-008-Redna-2020-06-04.ana	1	546.1228	38.44527
OZFIMP-nujna-61-2016-07-07.ana	1	455.49926	32.06567
Skupna-2016-04-07_1.ana	1	979.80411	68.97503
KZOSSVZIPS-srecanje-2-2016-06-30.ana	1	405.71217	28.56082
Redna-11-2015-09-24.ana	1	148.8765	10.48042
OZOIP-Redna-019-2007-06-07.ana	1	1237.27899	87.10043
KZPTZCPIEM-nujna-19-2016-06-10.ana	1	424.64427	29.89358
OZDDSZII-redna-24-2016-06-09.ana	1	697.87276	49.12798
Skupna-2016-05-24_1.ana	1	449.30415	31.62955
OZG-Redna-040-2007-12-04.ana	1	388.55549	27.35305
OZF-014-Redna-2019-10-10.ana	1	635.15314	44.71272
Redna-19-2016-05-18.ana	1	142.06337	10.0008
Skupna-2015-12-02.ana	1	431.2316	30.35731
Izredna-14-2015-05-22.ana	1	303.04427	21.33333
OZO-nujna-1-2014-09-15.ana	1	543.40691	38.25408
OZP-022-Nujna-2020-09-09.ana	1	1729.81004	121.77302
UK-Redna-004-2002-03-18.ana	1	763.67937	53.76055
Redna-11-2009-11-16.ana	1	289.64786	20.39027
OZKGPIO-redna-17-2013-01-24.ana	1	650.36169	45.78335
OZFIMP-nujna-52-2016-04-01.ana	1	418.5386	29.46376
KZNS-Redna-014-2010-09-16.ana	1	1108.48225	78.03355
Redna-17-2016-03-30.ana	1	158.83622	11.18155
Skupna-2016-03-22.ana	1	370.34179	26.07086
Skupna-2016-03-08.ana	1	486.64611	34.25831
OZNPJUIP-Redna-022-2011-01-13.ana	1	738.39277	51.98046
Redna-40-1996-07-17.ana	1	424.14977	29.85877
Redna-07-2015-04-24.ana	1	340.73399	23.98657
OZOIP-Redna-023-2007-11-16.ana	1	768.97093	54.13306
KZNJF-Nujna-001-2009-01-12.ana	1	565.56118	39.81367
KZNJF-redna-26-2016-02-04.ana	1	470.58902	33.12794
MK-redna-7-2015-03-19.ana	1	663.70135	46.72242
Redna-33-2017-09-22.ana	1	253.25275	17.82817
OZDDSZII-048-Nujna-2021-02-01.ana	1	156.13198	10.99119
OZO-Redna-032-1999-03-11.ana	1	905.94388	63.77551
OZKGIP-redna-13-2016-02-03.ana	1	484.86876	34.13319
OZNZJUILS-nujna-29-2014-03-21.ana	1	433.77306	30.53622
KZP-nujna-5-2015-12-02.ana	1	891.50245	62.75888
KPDZ-redna-30-2015-05-08.ana	1	937.88459	66.02403
KZPCPIEM-002-Nujna-2019-02-14.ana	1	744.15632	52.38619
SDZ8-Izredna-48-2020-11-17.ana	1	146.36539	10.30365
Skupna-2015-11-11.ana	1	684.58795	48.19277
OZZP-Redna-011-2006-02-23.ana	1	612.90072	43.14622
OZIZSIM-009-Redna-2019-10-09.ana	1	288.71771	20.32479
SDZ8-Izredna-77-2021-06-15.ana	1	372.83011	26.24603
SDZ8-Izredna-20-2019-03-20.ana	1	383.45796	26.9942
Redna-10-2015-07-14.ana	1	120.37489	8.474
Redna-04-2015-01-30.ana	1	188.81106	13.29169
OZP-redna-11-2015-07-08.ana	1	1186.63437	83.53521
OZNP-Redna-032-2003-03-13.ana	1	422.97523	29.77608
Redna-38-1996-03-13.ana	1	343.02963	24.14817
MK-redna-11-2015-06-11.ana	1	645.80833	45.46281
Skupna-2017-07-10.ana	1	898.72201	63.26711
OZDDSZII-nujna-12-2015-05-15.ana	1	918.65744	64.6705
SDZ8-Redna-29-2022-01-31.ana	1	194.62111	13.70069
OZFIMP-nujna-25-2015-04-16.ana	1	679.73969	47.85147
SDZ8-Redna-12-2019-10-21.ana	1	181.66611	12.78871
SDZ8-Redna-20-2020-09-29.ana	1	140.55509	9.89462
Redna-06-2015-03-31.ana	1	156.11139	10.98974
OZDDSZII-Redna-015-2010-04-06.ana	1	858.32024	60.42296
Izredna-23-2015-11-04.ana	1	310.42832	21.85315
OZFIMP-redna-7-2015-03-11.ana	1	430.252	30.28835
OZZ-nujna-6-2015-02-13.ana	1	534.8142	37.64918
OZFIMP-nujna-15-2015-01-26.ana	1	473.45932	33.33
Redna-04-2015-01-26.ana	1	248.03911	17.46115
Redna-21-2006-10-23.ana	1	451.81934	31.80662
Redna-02-2014-11-21.ana	1	223.57719	15.73911
OZFIMP-Redna-029-2007-09-13.ana	1	448.02877	31.53977
OZNZJUILS-019_1-Redna-2020-09-02.ana	1	471.38543	33.18401
Skupna-2014-11-06.ana	1	478.61186	33.69272
KZNJF-redna-2-2014-11-05.ana	1	442.18522	31.1284
Redna-26-2007-03-28.ana	1	329.5182	23.19701
Izredna-69-2014-06-12.ana	1	260.69371	18.35199
OZP-024-Redna-2021-03-11.ana	1	980.27742	69.00835
Redna-23-2014-03-27.ana	1	171.37204	12.06404
OZK-javna-2-2015-12-08.ana	1	992.12181	69.84216
OZFIMP-nujna-87-2014-03-24.ana	1	773.24044	54.43362
Redna-22-2014-03-06.ana	1	330.13084	23.24014
Redna-22-2014-03-05.ana	1	158.40935	11.1515
OZIZSIM-javna-4-2014-02-27.ana	1	844.14072	59.42477
Skupna-037-Redna-2019-06-14.ana	1	3591.70671	252.8445
KPDZ-redna-83-2014-02-21.ana	1	1253.21571	88.22232
Redna-22-2003-01-28.ana	1	340.07326	23.94005
OZZDDSPII-Redna-027-2003-01-16.ana	1	681.79506	47.99616
UK-Redna-011-2003-01-16.ana	1	875.729	61.64848
Skupna-2003-01-15.ana	1	892.34249	62.81802
Redna-19-2002-10-24.ana	1	225.51874	15.87579
KZNPIDJF-Redna-016-2002-06-14.ana	1	582.41903	41.00041
Izredna-20-2002-06-13.ana	1	375.53071	26.43614
Redna-12-1999-04-13.ana	1	460.84869	32.44225
OZZP-Izredna-027-2002-06-07.ana	1	333.88647	23.50452
Redna-16-2002-05-29.ana	1	328.80124	23.14654
Izredna-19-2002-05-15.ana	1	377.27611	26.55901
OZFIMP-Redna-024-2002-05-09.ana	1	909.48204	64.02459
Redna-15-2002-04-16.ana	1	486.5461	34.25127
ZbZdruDel.1992-09-10.s050-02.ana	1	638.95286	44.98021
KZNPIDJF-Redna-014-2002-03-15.ana	1	632.157	44.5018
Redna-12-2002-01-23.ana	1	352.20669	24.79421
KZEZ-Redna-009-2002-01-17.ana	1	3076.05025	216.54396
OZZP-Redna-041-2001-12-19.ana	1	4891.59781	344.35262
OZO-Redna-036-1999-07-14.ana	1	1750.27108	123.21341
OZZP-Redna-038-2001-12-05.ana	1	927.95924	65.32532
KZNPIDJF-Redna-009-2001-10-09.ana	1	353.58308	24.8911
Redna-07-2001-07-06.ana	1	588.8654	41.45421
OZZDDSPII-Redna-008-2001-07-03.ana	1	810.52151	57.05809
Redna-07-2001-06-19.ana	1	424.22577	29.86412
Redna-05-2001-04-19.ana	1	447.01366	31.46831
KZNPIDJF-Redna-004-2001-04-17.ana	1	807.25124	56.82787
OZZP-Izredna-007-2001-03-22.ana	1	719.46921	50.6483
Redna-03-2001-02-22.ana	1	359.4979	25.30749
Redna-02-2001-01-31.ana	1	411.16096	28.9444
Izredna-04-2001-01-11.ana	1	540.5533	38.0532
OZZP-Redna-004-2001-01-10.ana	1	1841.00571	129.60083
OZZP-Redna-001-2000-11-27.ana	1	1077.53926	75.85527
Izredna-35-1995-11-29.ana	1	208.80174	14.69897
OZIIO-Izredna-017-2000-08-29.ana	1	951.83597	67.00616
OZG-Izredna-025-2000-08-23.ana	1	464.28291	32.68401
OZMO-Redna-138-2000-07-26.ana	1	1021.00194	71.87522
OZZDDISP-Izredna-019-2000-07-10.ana	1	1147.15336	80.75587
KZPo-Izredna-003-2000-05-30.ana	1	1229.67452	86.5651
Redna-21-2000-05-10.ana	1	382.84821	26.95127
Redna-19-2000-03-21.ana	1	467.52238	32.91206
Redna-19-2000-03-15.ana	1	527.46649	37.13193
KZVI-Redna-040-2000-03-10.ana	1	751.12098	52.87648
KZPe-Redna-016-2000-02-16.ana	1	1300.00916	91.51643
OZO-Redna-040-2000-02-04.ana	1	506.15357	35.63157
OZMO-Redna-119-2000-02-03.ana	1	1500.33799	105.61893
Redna-17-1999-12-16.ana	1	318.80962	22.44316
OZNPIP-Redna-031-1999-11-10.ana	1	929.11244	65.4065
OZKGIP-Redna-038-1999-11-09.ana	1	966.93214	68.06889
Redna-16-1999-10-01.ana	1	495.9743	34.91498
Redna-16-1999-09-28.ana	1	437.81052	30.82044
OZZIT-Redna-028-1999-09-16.ana	1	1018.87821	71.72572
Izredna-38-1999-07-27.ana	1	321.15211	22.60807
KZEZ-Redna-051-1999-07-21.ana	1	1009.75263	71.08331
Izredna-37-1999-07-13.ana	1	532.36893	37.47705
OZZIT-Redna-026-1999-06-02.ana	1	1443.4712	101.61569
OZFIMP-Redna-060-1999-05-27.ana	1	833.05184	58.64415
OZZIT-Redna-025-1999-04-08.ana	1	1199.15584	84.41668
KZPEM-Redna-016-1999-04-06.ana	1	873.84351	61.51575
Izredna-32-1999-02-11.ana	1	284.97031	20.06099
KZVI-Redna-027-1999-02-05.ana	1	760.93851	53.5676
Izredna-30-1998-12-17.ana	1	405.77011	28.5649
OZZDDISP-Redna-041-1998-11-06.ana	1	532.92816	37.51641
KZVI-Redna-024-1998-10-07.ana	1	707.95914	49.83803
Redna-10-1998-09-24.ana	1	995.87774	70.10656
Redna-10-1998-07-29.ana	1	421.94499	29.70356
KZOSSVZIPS-Redna-017-1998-07-15.ana	1	2772.82843	195.19813
Izredna-23-1998-07-10.ana	1	460.31108	32.40441
Redna-32-1995-06-02.ana	1	439.09617	30.91095
KZNLPIP-Redna-020-1998-07-02.ana	1	541.35671	38.10976
Redna-09-1998-06-12.ana	1	479.87298	33.7815
Redna-09-1998-05-22.ana	1	516.45883	36.35703
Izredna-22-1998-05-14.ana	1	372.04893	26.19104
OZMO-Redna-050-1998-05-13.ana	1	523.94512	36.88404
Izredna-20-1994-11-11.ana	1	517.79544	36.45112
OZZIT-Redna-017-1998-05-07.ana	1	1445.52763	101.76046
Izredna-21-1998-04-08.ana	1	318.6094	22.42907
OZMO-Redna-041-1998-02-11.ana	1	451.03032	31.75107
Izredna-19-1998-01-20.ana	1	619.47582	43.60909
OZIIO-Redna-015-1997-11-13.ana	1	1767.25554	124.40906
OZNPIDJF-Redna-007-1997-11-04.ana	1	761.42796	53.60206
OZKSIS-Redna-006-1997-07-17.ana	1	675.24837	47.53529
OZFIMP-Redna-008-1997-06-17.ana	1	870.95034	61.31208
OZFIMP-Redna-007-1997-06-11.ana	1	653.62352	46.01298
Redna-04-1997-04-24.ana	1	364.7222	25.67526
KZVI-Redna-001-1997-03-07.ana	1	604.01395	42.52062
OZKGIP-Redna-001-1997-02-03.ana	1	562.93889	39.62907
OZIIO-Redna-001-1997-01-31.ana	1	445.72325	31.37747
Izredna-01-1997-01-09.ana	1	282.62868	19.89614
Izredna-52-1996-10-02.ana	1	644.08071	45.34119
Izredna-47-1996-07-23.ana	1	446.43766	31.42776
Izredna-46-1996-07-18.ana	1	838.26272	59.01098
Izredna-45-1996-06-14.ana	1	1189.91456	83.76612
Redna-38-1996-03-21.ana	1	398.21709	28.03319
Redna-36-1995-12-14.ana	1	365.46348	25.72744
Redna-34-1995-09-28.ana	1	598.34043	42.12122
Redna-30-1995-04-18.ana	1	636.43369	44.80287
Redna-29-1995-03-15.ana	1	652.24299	45.91579
Redna-28-1995-01-20.ana	1	189.06739	13.30973
Izredna-18-1994-10-19.ana	1	332.82257	23.42963
Redna-24-1994-09-30.ana	1	235.82575	16.60137
Izredna-10-1994-06-15.ana	1	3102.24941	218.38829
Redna-18-1994-02-22.ana	1	284.5479	20.03125
Redna-13-1993-11-12.ana	1	229.51593	16.15718
Redna-13-1993-11-11.ana	1	427.35259	30.08424
Redna-12-1993-10-28.ana	1	289.02318	20.34629
Redna-12-1993-10-06.ana	1	334.93351	23.57823
Redna-10-1993-07-06.ana	1	319.85769	22.51694
DruzPolZb.1992-02-12.s030-09.ana	1	431.59846	30.38313
ZbObc.1992-01-15.s030-07.ana	1	416.3062	29.30661
ZbObc.1991-12-10.s028-03.ana	1	565.26861	39.79308
ZbZdruDel.1991-11-20.s032-04.ana	1	813.11964	57.24098
ZbZdruDel.1991-07-30.s026-01.ana	1	396.27305	27.89634
DruzPolZb.1991-07-17.s022-01.ana	1	395.11571	27.81486
ZbObc.1991-05-15.s019-02.ana	1	287.43829	20.23472
ZbZdruDel.1990-12-05.s011-01.ana	1	302.8569	21.32014
Session title	Frequency	Relative density	Relative in text types
1. izredna seja (7. 11. 2008)	16	4341.1453	313.39366
Odbor za notranjo politiko: 50. redna seja (5. 5. 2004)	9	2344.09725	169.22383
Odbor za kulturo: 35. nujna seja (9. 6. 2021)	9	2846.57202	205.49822
Odbor za delo, družino, socialne zadeve in invalide: 61. nujna seja (27. 10. 2021)	9	3724.89372	268.90555
47. izredna seja (11. 11. 2013)	8	1481.66135	106.96331
64. izredna seja (4. 3. 2021)	8	1466.2717	105.85231
6. redna seja (25. 5. 2009)	7	1304.07322	94.14296
3. izredna seja (16. 12. 2008)	7	2348.48779	169.54079
45. izredna seja (20. 4. 2000)	7	2264.09424	163.44829
Komisija za odnose s Slovenci v zamejstvu in po svetu: 1. srečanje (5. 7. 2012)	6	1301.04901	93.92464
Odbor za infrastrukturo, okolje in prostor: 36. nujna seja (1. 6. 2016)	6	4136.79319	298.64118
16. redna seja (3. 3. 2020)	6	1357.889	98.028
7. redna seja (23. 10. 2012)	6	961.45842	69.4091
4. redna seja (1. 4. 2009)	6	701.68948	50.656
48. izredna seja (19. 11. 2020)	6	852.52141	61.54477
1. izredna seja (11. 11. 2008)	5	1684.50871	121.60716
Odbor za izobraževanje, znanost, šport in mladino: 24. redna seja (3. 12. 2021)	5	1549.55053	111.86433
14. redna seja (21. 5. 2013)	5	949.3559	68.5354
16. redna seja (10. 7. 2013)	5	783.12389	56.53487
Skupna seja: 21. nujna seja (3. 6. 2020)	5	823.40942	59.44314
Odbor za notranjo politiko: 21. izredna seja (12. 4. 2002)	5	3388.46673	244.6184
48. izredna seja (18. 11. 2020)	5	827.23512	59.71932
46. izredna seja (31. 5. 2004)	5	540.56788	39.02439
19. redna seja (10. 7. 2020)	5	2010.34076	145.12946
61. izredna seja (15. 2. 2021)	5	750.39828	54.17235
Skupna seja: 16. nujna seja (3. 6. 2020)	5	823.24304	59.43113
10. redna seja (21. 10. 2009)	4	649.40119	46.88123
Odbor za izobraževanje, znanost, šport in mladino: 27. nujna seja (12. 11. 2020)	4	1910.03509	137.88824
35. redna seja (5. 2. 2008)	4	492.3336	35.54229
10. izredna seja (22. 5. 2009)	4	520.55814	37.57986
4. redna seja (31. 3. 2009)	4	918.05362	66.27564
45. izredna seja (2. 9. 2011)	4	1032.9451	74.56983
32. redna seja (23. 10. 2007)	4	824.7601	59.54064
28. redna seja (22. 3. 2017)	4	646.06192	46.64016
Odbor za notranje zadeve: 7. nujna seja (19. 9. 2012)	4	1466.52395	105.87052
18. izredna seja (20. 1. 2010)	4	613.81894	44.31249
Odbor za notranje zadeve, javno upravo in lokalno samoupravo: 55. nujna seja (22. 10. 2021)	4	739.4268	53.38031
5. izredna seja (28. 1. 2012)	4	733.42698	52.94717
Odbor za obrambo: 6. redna seja (21. 1. 2014)	4	1595.30715	115.16757
Odbor za finance in monetarno politiko: 39. nujna seja (1. 12. 2012)	4	679.65517	49.06531
Mandatno-volilna komisija: 19. redna seja (17. 10. 2013)	4	3513.9655	253.67834
12. izredna seja (8. 9. 2009)	4	844.01974	60.93103
32. izredna seja (2. 11. 2010)	4	1091.61527	78.80531
Odbor za delo družino socialne zadeve in invalide: 19. redna seja (17. 3. 2011)	4	1064.37574	76.83885
Odbor za infrastrukturo, okolje in prostor: 17. redna seja (12. 5. 2020)	4	815.06631	58.84084
15. redna seja (25. 3. 2010)	4	583.71126	42.13897
Komisija za odnose s Slovenci v zamejstvu in po svetu: 6. nujna seja (6. 7. 2006)	4	1814.40199	130.98435
32. redna seja (12. 7. 2017)	4	797.41251	57.56638
Odbor za delo, družino, socialne zadeve in invalide: 33. nujna seja (25. 11. 2019)	4	582.59424	42.05833
Odbor za notranjo politiko javno upravo in pravosodje: 2. nujna seja (18. 11. 2008)	4	757.06684	54.65377
Vsi zbori zasedajo skupaj: 33. seja	4	1429.81544	103.22048
14. izredna seja (15. 6. 2012)	4	645.73063	46.61624
Komisija za poslovnik: 5. nujna seja (2. 7. 2020)	4	1467.14526	105.91537
Odbor za pravosodje, javno upravo in lokalno samoupravo: 13. nujna seja (29. 10. 2012)	4	1211.92957	87.49098
19. redna seja (20. 11. 2013)	4	460.42286	33.2386
30. redna seja (25. 5. 2017)	4	518.9638	37.46476
