method name: freqs			
corpus: siparl40			
subcorpus: -			
concordance size: 1922			
"query: Query:([lemma=""""naš""""][]{1,3}[lemma=""""vaš""""])|([lemma=""""vaš""""][]{1,3}[lemma=""""naš""""])within<s/>"			
Legislative period (in Slovene)	Frequency	Relative density	Relative in text types
SDZ8-Izredna-64-2021-03-04.ana	8	1503.65323	105.85231
Izredna-47-2013-11-11.ana	8	1519.43524	106.96331
Izredna-03-2008-12-16.ana	7	2408.36079	169.54079
Redna-06-2009-05-25.ana	7	1337.31962	94.14296
Izredna-45-2000-04-20.ana	7	2321.81569	163.44829
Redna-07-2012-10-23.ana	6	985.97011	69.4091
OZIOIP-nujna-36-2016-06-01.ana	6	4242.25774	298.64118
SDZ8-Redna-16-2020-03-03.ana	6	1392.5074	98.028
Redna-04-2009-04-01.ana	6	719.57854	50.656
SDZ8-Izredna-48-2020-11-19.ana	6	874.25582	61.54477
Izredna-46-2004-05-31.ana	5	554.34927	39.02439
Izredna-01-2008-11-11.ana	5	1727.45404	121.60716
Skupna-016-Nujna-2020-06-03.ana	5	844.23102	59.43113
Redna-14-2013-05-21.ana	5	973.55905	68.5354
Redna-16-2013-07-10.ana	5	803.08907	56.53487
Skupna-021-Nujna-2020-06-03.ana	5	844.40165	59.44314
SDZ8-Redna-19-2020-07-10.ana	5	2061.59295	145.12946
SDZ8-Izredna-48-2020-11-18.ana	5	848.32488	59.71932
SDZ8-Izredna-61-2021-02-15.ana	5	769.52914	54.17235
OZIZSIM-024-Redna-2021-12-03.ana	5	1589.0552	111.86433
OZNP-Izredna-021-2002-04-12.ana	5	3474.85324	244.6184
Izredna-05-2012-01-28.ana	4	752.12517	52.94717
Redna-19-2013-11-20.ana	4	472.16101	33.2386
Skupna-2006-07-06.ana	4	1860.65886	130.98435
OZIOIP-017-Redna-2020-05-12.ana	4	835.84584	58.84084
Redna-32-2007-10-23.ana	4	845.78676	59.54064
OZNPJUIP-Nujna-002-2008-11-18.ana	4	776.36771	54.65377
Redna-04-2009-03-31.ana	4	941.45873	66.27564
Izredna-10-2009-05-22.ana	4	533.82939	37.57986
Izredna-12-2009-09-08.ana	4	865.53741	60.93103
Izredna-18-2010-01-20.ana	4	629.46781	44.31249
Izredna-32-2010-11-02.ana	4	1119.44521	78.80531
OZDDSZII-Redna-019-2011-03-17.ana	4	1091.51123	76.83885
Izredna-14-2012-06-15.ana	4	662.19306	46.61624
OZPJUILS-nujna-13-2012-10-29.ana	4	1242.82684	87.49098
OZFIMP-nujna-39-2012-12-01.ana	4	696.98249	49.06531
KZPCPIEM-005-Nujna-2020-07-02.ana	4	1504.54907	105.91537
MK-redna-19-2013-10-17.ana	4	3603.55151	253.67834
Redna-35-2008-02-05.ana	4	504.88529	35.54229
Redna-22-2003-01-30.ana	4	1008.92788	71.02525
OZO-redna-6-2014-01-21.ana	4	1635.97835	115.16757
SDZ8-Redna-24-2021-07-08.ana	4	525.50543	36.99388
Izredna-45-2011-09-02.ana	4	1059.27929	74.56983
Izredna-03-2014-09-18.ana	4	729.4163	51.34854
Redna-37-2004-06-16.ana	4	868.886	61.16676
OZG-nujna-50-2014-04-28.ana	4	1703.15929	119.89689
Redna-15-2010-03-25.ana	4	598.59256	42.13897
Izredna-44-2013-10-01.ana	4	1072.67751	75.51302
Redna-32-2017-07-12.ana	4	817.74196	57.56638
OZNZJUILS-055-Nujna-2021-10-22.ana	4	758.27795	53.38031
OZIZSIM-027-Nujna-2020-11-12.ana	4	1958.73006	137.88824
OZDDSZII-033-Nujna-2019-11-25.ana	4	597.44706	42.05833
Redna-10-2009-10-21.ana	4	665.9572	46.88123
Redna-28-2017-03-22.ana	4	662.5328	46.64016
OZNZ-nujna-7-2012-09-19.ana	4	1503.91192	105.87052
OZO-nujna-26-2016-02-17.ana	4	1120.81427	78.90169
Redna-30-2017-05-25.ana	4	532.19441	37.46476
KZOSSVZIPS-srecanje-1-2012-07-05_1.ana	4	1417.96766	99.82032
SDZ8-Izredna-67-2021-03-25.ana	4	590.41959	41.56362
Redna-40-1996-09-17.ana	4	2134.11456	150.23474
VsiZbor.1992-04-22.s033-01.ana	4	1466.26755	103.22048
KKPD-Redna-002-2008-11-06.ana	3	3101.34635	218.32472
Redna-07-2009-06-19.ana	3	693.46655	48.8178
Redna-09-2009-09-22.ana	3	516.18983	36.33809
Redna-09-2009-09-24.ana	3	434.36994	30.57823
Redna-26-2011-03-30.ana	3	785.33835	55.28527
Redna-10-2013-01-29.ana	3	1214.88113	85.52369
Izredna-13-2012-05-10.ana	3	420.47123	29.59981
Redna-15-2013-06-17.ana	3	719.6393	50.66027
Redna-06-2012-09-28.ana	3	591.70254	41.65394
OZFIMP-nujna-35-2012-11-05.ana	3	1059.77321	74.6046
Izredna-42-2004-04-06.ana	3	592.2288	41.69099
OZO-Redna-011-2010-04-13.ana	3	1099.44532	77.39738
Izredna-21-2012-11-23.ana	3	749.14039	52.73705
Izredna-28-2013-02-27.ana	3	518.86087	36.52612
Izredna-09-2005-06-20.ana	3	401.85957	28.28961
Skupna-2013-04-26.ana	3	2644.79614	186.18507
OZFIMP-nujna-70-2013-11-08.ana	3	366.72146	25.816
Izredna-47-2013-11-14.ana	3	335.696	23.63191
Izredna-49-2013-12-11.ana	3	892.36117	62.81933
Redna-21-2014-01-29.ana	3	357.34554	25.15597
