method name: freqs			
corpus: trendi			
subcorpus: -			
concordance size: 2980			
"query: Query:([lemma=""""naš""""][]{1,3}[lemma=""""vaš""""])|([lemma=""""vaš""""][]{1,3}[lemma=""""naš""""])within<s/>"			
text.topic	Frequency	Relative density	Relative in text types
Ukrajina obeležuje dan neodvisnosti Kijev	2	96123.22635	2232.14286
Golob v poslanici Sovi: Slovenija računa na vas	2	135206.2964	3139.71743
Krkovič za N1: Želel sem razkrinkati nespodobno delovanje politike	2	123744.84311	2873.56322
Laris Gaiser: Spoštovani predsednik vlade Miro Cerar, predlagam Vam, da odstopite. - Časnik	2	12824.06355	297.79631
Kdo je Robert Prevost, ki je postal novi papež?	2	170547.34813	3960.39604
Nika in Nik (Izodrom): &#34;Ogromno nama pomeni, če vsi skupaj začnemo dan!&#34;	2	60952.87389	1415.42817
Gorenjski glas | Jubilej turističnega društva	2	58829.51558	1366.12022
Netanjahu: Izrael bo napadel vse cilje	2	241928.12024	5617.97753
Izberite varno prihodnost	2	82025.15315	1904.7619
Zdaj je čas za spremembe - ampak ne za spremembe, ki jih nikoli ne bo!	2	31092.56708	722.02166
Nataša Pirc Musar: Opažam razklanost, ki ni dobra za državo	2	38953.60055	904.56807
Vojna za Slovenijo - 30 let: Ena zastava in dve proslavi	2	113026.78583	2624.67192
Ž. Turk: Vlada ljudske tehnike - Časnik	2	176850.94621	4106.77618
Necenzurirano.si - Nataša Pirc Musar nagovorila državni zbor, poslanci SDS zapustili dvorano	2	147476.73083	3424.65753
Mufti Porić ob božiču voščil predsedniku Slovenske škofovske konference	2	158320.6081	3676.47059
Papežev zadnji dan v Turčiji v znamenju obiska Modre mošeje	2	74892.53114	1739.13043
Tone Krkovič: Z Janezom Janšo se že dolga nisva videla ali slišala	2	165309.80961	3838.77159
Ob drugi obletnici ruske invazije na Ukrajino iz sveta prihajajo mnogi izrazi podpore Kijevu.	2	53395.17099	1239.9256
Predsednik KPK poziva k spoštljivi komunikaciji o delu neodvisnih institucij	2	68956.29368	1601.28102
Gospod Igor Barišić, podite iz hiše, v kateri ste gost - Vestnik.si	2	51204.76267	1189.06064
Pogačar in/ali Roglič? Komik briljantno povzel slovenski kolesarski razkol (video) - Ekipa	2	249641.77045	5797.10145
SVET-WORLD von der Leyen: EU bo vedno z Ukrajino Bruselj (MOREL/FoNet) - Predsednica Evropske komisije Ursula von der Leyen je dejala, da ...	2	538290.06753	12500
Gorenjski glas | Tanja odgovarja	2	408.41819	9.48416
Počivalšek: &#34;Sodbo o tem, ali so bile vse sprejete odločitve optimalne, si lahko ustvari vsak sam&#34; | MLADINA.si	2	74055.38332	1719.69046
Predstava Naše nasilje in vaše nasilje nagrajena v Črni gori	2	193978.40271	4504.5045
Miha Mazzini: Anatomija nekega linča	2	23589.81397	547.79512
Golobova vlada pospešeno zamenjuje kadre Janševe vlade	2	57686.81233	1339.58473
Iva Dimic: Bomo še delili mrtve na naše in vaše? Sajovic: Zakon je nedomišljen.	2	53862.67092	1250.78174
Ljubljana pokazala navijaške zobe, a ne dovolj za Maribor!	2	59727.05326	1386.96255
V Zagrebu več tisoč ljudi protestiralo za višje plače in pokojnine	2	99683.34584	2314.81481
Evropska komisija napovedala dodatnih 200 milijonov evrov pomoči za Ukrajino	2	165309.80961	3838.77159
Vroča tema: RTVS je prevzela trda levica - Domovina	2	70422.24923	1635.32298
Branje v senci, trg pri knjižnici	2	483856.24048	11235.95506
Rdeča vina iz treh držav v Izoli	2	170885.73572	3968.25397
Napoved - Slovenija, 11. 6. (sreda) Ljubljana	2	15902.21765	369.27622
Luka Dončić zdaj ni nikomur dolžan ničesar več - razen morda samemu sebi - Ekipa	2	65001.06476	1509.43396
Uravnoteževanje je uničilo nacionalko	2	104395.64946	2424.24242
Kovšca v tekmo za predsednika države, a le če dobi dovolj politične podpore	2	73486.69864	1706.48464
&#34;Dost' 'mam, aktiviral se bom. Daj se tudi ti!&#34;	2	8734.0443	202.81919
(REKLI SO) Leon Magdalenc: Odstranite vsa ogledala!	2	245374.38976	5698.0057
Ob dnevu Slovenske vojske izpostavili pomen njene ustrezne usposobljenosti in opremljenosti (dopolnjeno)	2	45068.76547	1046.57248
Gospod Igor Barišić, podite iz hiše, v kateri ste gost	2	51204.76267	1189.06064
Prešernova nagrajenka Svetlana Makarovič je Palestincem poklonila pesem in sporočila, naj glavo držijo pokonci | MLADINA.si	2	152166.80354	3533.5689
(POGLED) Kdo bo zmagal v tem pingpongu? Robert ali Robert?	2	36727.68051	852.87846
Ministrstvo pripravilo sprejem olimpijcev, zaposlenih v policiji	2	72193.13563	1676.44593
Pa-pa-pa-pa-pa-pa parade, vse naše!	2	155743.96167	3616.63653
Edini namen deklaracije je obsoditi in sankcionirati drugače misleče - Domovina	2	65247.28091	1515.15152
Poslanci SDS s ponovnim predlogom za podporo resoluciji o evropski zavesti in totalitarizmu	2	186420.80261	4329.00433
"Pater Karel Gržan: ""Iz teh konceptov enoumja in manipulacije je potrebno izstopiti. To pomeni odpreti srce, odpreti duha in biti spoštljiv"""	2	10399.22854	241.48756
Slovenski izvoznik leta je Steklarna Hrastnik	2	25095.10804	582.75058
Janša: &#34;Ni druge države na celi celini, ki bi bila bolj evropska kot Ukrajina&#34; | MLADINA.si	2	213713.17818	4962.77916
Golob v poslanici ob 30-letnici naziva Sove pozval k zadržanosti, budnosti in nenehni pripravljenosti (dopolnjeno)	2	127783.99229	2967.35905
Sodstvo in pravna stroka kritična do predloga ustavnih sprememb glede sodnikov	2	65545.2137	1522.07002
Znani televizijec priznava: 'Biti Slovenec v ZDA ne prinaša nikakršne prednosti.' - Vestnik.si	2	27428.79325	636.94268
Ukrajina obeležuje dan neodvisnosti (dopolnjeno)	2	169874.57753	3944.77318
Poglejte, kaj je v cirilici sporočil Janez Janša (FOTO)	2	393271.28222	9132.42009
Zelenski podpisal zakon o prepovedi dejavnosti ruske pravoslavne cerkve v Ukrajini	2	143544.01801	3333.33333
Ukrajina že tretje leto dan neodvisnosti zaznamuje med vojno z Rusijo	2	121647.47289	2824.85876
Ukrajina zaznamuje tretji dan neodvisnosti od začetka ruske invazije	2	121647.47289	2824.85876
Ukrajina obeležuje dan neodvisnosti (dopolnjeno) -&gt; z uradno slovesnostjo in voščilom Slovenije v 4. in 7. odstavku Kijev	2	174698.60204	4056.79513
Tonin o Janševih tvitih: Kot politiki tudi novinarji ne bi smeli biti presenečeni nad kritiko (dopolnjeno)	2	65645.13019	1524.39024
Upokojenci na protestu v središču Ljubljane znova za dostojne pokojnine	2	62410.44261	1449.27536
Gorenjski glas | Dobre vezi gradijo skupnost	2	68354.29429	1587.30159
Čigava vojna?	2	27640.05482	641.84852
"Mladi Ukrajinec Slovencem: ""Cenite mir, tega, da ni vojne, ni krvi, strahu"""	2	22341.4814	518.80674
Oglašujte z vsebinami na naših portalih	2	160086.26544	3717.47212
Voščila politikov ob Božiču in novem letu - Demokracija	2	48088.44824	1116.69458
Matej Accetto: Težko boste našli ustavnega sodnika, ki bi privolil, da bi ga označili za našega ali njihovega	2	110702.32751	2570.69409
Ana Roš: Koronavirus me je naučil, kako lepo je biti doma	2	46504.54147	1079.91361
Delo o dualizmu slovenske politike in družbe (4. 3.)	2	368061.58464	8547.00855
Osem praznih Golobovih izjav - Demokracija	2	97759.83065	2270.14756
Zelenski obiskal vojake na fronti v regiji Harkov	2	114074.7163	2649.00662
Vrh EU potrdil začetek pristopnih pogajanj z BiH	2	103269.0777	2398.08153
Po skoraj treh desetletjih zakona se ločuje ta zvezdniški par	2	107389.53966	2493.76559
Zelenski si je v Berlinu in Parizu prizadeval za dobavo vojaških letal	2	24870.46226	577.53393
Zakaj sreda ni petek in zakaj Janša ni vlada? Kje so odgovorni zavozili epidemijo in kaj bi sam storil drugače?	2	11465.17716	266.24068
Komentar Bojana Budje: Mlada elita	2	195741.84274	4545.45455
V praksi smo izkusili, da šport povezuje in združuje	2	30541.28043	709.21986
(PISMO BRALKE) KUL - Kučanova umazana luknja ali kdo vam laže - Demokracija	2	76016.24961	1765.22507
Tehnologija prinaša najboljše učinke takrat, ko odpira nove možnosti za zaslužek	2	54648.73782	1269.03553
Na Bledu se začenja 6. festival Kino Bled	2	62185.13416	1444.04332
"""Bizarno, da je bivši premier obseden z več kot trideset let mlajšo žensko"""	2	21276.28725	494.07115
Vseposvojitev - Časnik	2	130297.14191	3025.71861
Gerič o sodelavcih Panorame: &#34;Gre za čiščenje kadrov, stiske iz poslovnega razloga tudi slučajno ni!&#34; | Nova24TV	2	63188.85606	1467.35143
Več kot le frizura​	2	95483.82573	2217.2949
Komentar Bojana Budje: Morija nedolžnih	2	101325.18918	2352.94118
#intervju Sabine Kirchmeier, danska jezikoslovka in predsednica združenja EFNIL: Evropski jeziki so si v sorodu	2	117498.51406	2728.51296
Kuharska knjiga Pamele Anderson sprva darilo za sinova, nato za ves svet | 24ur.com	2	705954.18693	16393.44262
Čestitke novemu vodstvu naše RTV Slovenija	2	227246.4665	5277.04485
Navijaški dvoboj vzhoda in zahoda: Skakanje za lažji spanec, z vstopnicama pod vzglavnikom	2	57802.96027	1342.28188
Odštevanje do ponovnega zagona Skačimerja: Za najbolj poskočen navijaški narod	2	99453.13026	2309.46882
Poskus z resničnostjo (Esej o Tolstoju, Putinu, Xi Jinpingu in Tinetu Hribarju) - Demokracija	2	38159.68578	886.13203
Nagrada za &#34;popoln umetniški sinkretizem&#34; predstavi Naše nasilje in vaše nasilje	2	190967.65145	4434.5898
Pred dnevom urgentne medicine na ljubljanski urgenci paciente pozivajo k strpnosti	2	120456.51861	2797.2028
Ob svetovnem dnevu pozivi k ureditvi razmer v urgentni medicini	2	145729.96752	3384.09475
Mikro podatkovni center RiMatrix Micro Data Center | Monitor	2	50190.21609	1165.50117
Vsebine na N1: kaj vam je všeč in kaj vam ni?	2	426368.37032	9900.9901
Ali se je Apple končno vpisal na tečaj slovenščine?	2	69851.10365	1622.06002
V Ukrajini prepovedali delovanje z Rusijo povezane pravoslavne cerkve	2	134362.57536	3120.1248
75 let človekovih pravic: skozi kratki film pokaži, kaj pomenijo za prihodnost	2	267473.32548	6211.18012
Predlagali ste 23 kandidatov za naziv dobrotnika leta 2022	2	10132.51892	235.29412
Nagrajena predstava Naše nasilje in vaše nasilje	2	355894.25953	8264.46281
Prvi strelec 1. SNL PREDRAG SIKIMIĆ: Upam, da sem lahko IZZIV za ZAHOVIĆA, primerjava z IBRAHIMOVIĆEM me NI NAVDUŠILA	2	30465.65646	707.46374
Samo vas ne bo več, ata ... (vnuk ob grobu starega očeta, Ivana Omana)	2	95802.45918	2224.6941
Vestnik - (TOTI LIST) Pismo njeni britanski ekselenci	2	121819.53438	2828.85431
Naše nasilje in vaše nasilje na gostovanju v Črni gori	2	252570.11966	5865.10264
Te dni praznujemo 150 let organiziranega gasilstva v Sloveniji #video	2	254811.86629	5917.15976
Britanska premierka Mayeva bo odstopila 7. junija (dopolnjeno)	2	49271.40206	1144.16476
Predlog SDS za podporo resoluciji o evropski zavesti in totalitarizmu brez zadostne podpore	2	77801.63578	1806.68473
Vestnik - Brez vas ni nas	2	382784.04802	8888.88889
Vestnik - Ana Kolenc: &#34;Stres in izgorelost povzroča naš preobremenjen um&#34;	2	40683.23609	944.73311
Vestnik - Katera je &#34;tvoja&#34; gora - Uršlja ali Peca? Imaš (naj)ljubšo? V eni je poezija, v drugi proza.	2	87884.09266	2040.81633
(INTERVJU) Verica Trstenjak: Imamo le eno domovino, ki ni ne leva ne desna	2	28959.78843	672.49496
Ne bomo tiho	2	111274.43257	2583.97933
Miha Mazzini: Reševanje goljufa Kobala	2	43718.99026	1015.22843
Revolucija v dostavi hrane prispela v Ljubljano!	1	75682.25906	1757.46924
Poredna dekleta gredo v Vegas	1	65645.13019	1524.39024
Zamolčana vojna v Kamerunu: &#34;Biyo morajo spametovati, vlada nam že 37 let&#34;	1	8997.74455	208.94275
Ohcet	1	138466.8984	3215.43408
&#34;Imava otroka z Aspergerjevim sindromom, stari starši pa naju krivijo za njegove izpade&#34;	1	93210.4013	2164.50216
Rašković: Teorija jogurta	1	40133.46263	931.96645
Praznično sladkanje: Hrustljava brusnična pita	1	78439.3541	1821.49362
Preprosto o zdravstvu	1	29354.60491	681.66326
Golob: Danes smo vsi mi Ukrajinci in smo povezani kot še nikoli. Slava Ukrajini! | Revija Reporter	1	61169.32586	1420.45455
[VIDEO] Bujica ekskluzivno za Nova24TV: &#34;Naše informacije kažejo, da je udbovec Jernej Sekolec osebno snemal Simono Drenik in informacijo o prisluhih dostavil srbskim medijem!&#34; | Nova24TV	1	12247.78311	284.41411
Dinozavri izumirajo - zdaj res imamo ŠPORTNIKA LETA!	1	41248.28104	957.85441
KOCKA JE PADLA! Rokometna reprezentanca bo jutri dobila novega selektorja, in to naj bi bil nihče drug kot...	1	134153.28786	3115.2648
Svet24.si - Jasno se je videla iskrenost nekaterih, ki sicer govorijo, &#34;da so koroški Slovenci naši&#34;	1	100850.59813	2341.92037
Šarec se je v Peći na Kosovu srečal s slovenskimi vojaki | Revija Reporter	1	83617.87457	1941.74757
Pokažite nam svoje jaslice	1	589906.92332	13698.63014
Harry in Meghan z božično voščilnico z Archiejem v ospredju	1	253312.97296	5882.35294
Leto dni po tragediji in velikem čudežu se bo vsa družina krstila	1	76083.40177	1766.78445
Strast v letu 2020	1	72619.23339	1686.34064
Ekonomsko odvisna oseba - poznate svoje pravice? - Podjetniške novice	1	65645.13019	1524.39024
Je Antonio Banderas naš ali njihov?	1	64562.52684	1499.25037
Svet24.si - Maja Štamol Droljc: &#34;Življenje te preizkuša in ne gre vedno povsem gladko&#34;	1	28843.40616	669.79236
Molimo za družino, ki doživlja hud križev pot - Molitev	1	341771.47145	7936.50794
Obrtniki že težko čakajo energetske rešitve	1	73864.84632	1715.26587
Sanje in poštenost, to je ključ do uspeha	1	16537.32926	384.02458
Slovo od velikega Slovenca	1	41890.27763	972.76265
Velenje: Mesto, ki so mu rekli socialistični čudež	1	49158.91028	1141.55251
&#34;Ključ do uspeha je slediti svojim sanjam in biti pri tem pošten&#34;	1	29556.07783	686.3418
Cameron Diaz pri 47-ih mamica!	1	211094.14413	4901.96078
Zakaj Alem Maksuti v Sloveniji ni alternativa	1	27836.59043	646.41241
ŠPORT IN VIRUS PO SLOVENSKO: Počivalšku tekme z gledalci, Kustečevi pa še kokoši ne bi smele ...	1	47218.42698	1096.49123
Gaja Višnar: &#34;V šovbiznisu ni prostora za samosabotažo&#34;	1	16002.67759	371.60907
Kaj bo Maribor dobil za 6,2 milijona evrov?	1	55637.21628	1291.98966
Dr. Anže Logar: Potrditev politične usmeritve, ki naj Sloveniji vrne optimizem, ne zahteva podpisovanja nobenih izjav	1	163738.42358	3802.28137
Vrgli so nas na cesto!	1	139815.60196	3246.75325
(FOTO) V Buči ob obisku visokih predstavnikov EU začeli izkopavati množično grobišče | Revija Reporter	1	134153.28786	3115.2648
Priča smo zgodovinski nihajnosti na kapitalskih trgih	1	48115.3133	1117.31844
Tudi NK Maribor čaka racionalno poslovanje	1	75682.25906	1757.46924
"Golob o ohranjanju pravic, Stevanović: ""Negotovost postaja nova norma"""	1	76761.50696	1782.53119
Naši - vaši, levi - desni, Janša - Antijanša	1	123037.72972	2857.14286
Epidemija ni vojna	1	66455.56389	1543.20988
Molitev za bolnika, ki hudo trpi - Molitev	1	341771.47145	7936.50794
Kolaboracija 2020	1	61518.86486	1428.57143
Svet24.si - Prihodnja vladna koalicija napoveduje delovanje za blaginjo, v opoziciji pa ne verjamejo, da je volk menjal svojo nrav	1	24877.6461	577.70075
Odkrili spominsko obeležje na lovskem zavetišču LD Mala Nedelja v Radoslavcih	1	116387.04163	2702.7027
&#34;Cmurek je čuden in čudežen kraj, ki ga ni.&#34;	1	18426.70321	427.89902
Hiša kranjske čebele v Višnji Gori - zgodba skupnosti	1	160086.26544	3717.47212
Radio Maribor	1	56.28037	1.30692
Janez Janša novi predsednik vlade, dobil je 52 poslanskih glasov	1	21161.2803	491.40049
Rupel odstopil z mesta direktorja Javne agencije za knjigo: Dogaja se, kar pove nemški pregovor - ob grdi igri kažejo nedolžen obraz - Demokracija	1	9753.84041	226.50057
Brane T. Červek o koronavirusu: Ne bodite nebogljeni doma, pojdite v naravo	1	82654.9048	1919.3858
FOTO:Poučuje brez delovnih zvezkov in ne mara ocen	1	22522.59697	523.01255
RAZKRIVAMO: Maribor se je resno ogrel za igralca, ki je imel 45 milijonov vredno odkupno klavzulo!	1	92015.39616	2136.75214
Težave za MARIBOR in Bogatinova! Glavni favorit za novega TRENERJA na pragu precej večjega projekta	1	97428.06652	2262.44344
Gorenjski glas | Občasnik - bratec Razgledov	1	80491.97272	1869.15888
LD;GD 033 - Ne verjemi ničemur | Metina lista	1	103269.0777	2398.08153
Porast globalne revščine, razbijanje mitov, preizkus socialne države	1	47478.72702	1102.53583
Ob dnevu Slovenske vojske predsednik Pahor izpostavili pomen njene ustrezne opremljenosti	1	41169.41243	956.02294
&#34;Marsikoga so v norišnico spravili za nekaj dni, pa je ostal desetletja. Pozabljen od svojcev in prijateljev.&#34;	1	52452.13813	1218.0268
Nekaj novega: Nepričakovana sestavina, ki bo izboljšala umešana jajca	1	98542.80413	2288.32952
Neža Kogovšek Šalamon nova ustavna sodnica - N1	1	58272.26712	1353.17997
Zaposleni DSO Ljutomer ministru: Če bi nam prisluhnili prej, bi bile številke obolelih v našem domu bistveno nižje	1	110987.64279	2577.31959
Home - Molitev	1	341771.47145	7936.50794
Hojs o sproščanju ukrepov: Pred odhodom v drugo občino morate izpolniti izjavo	1	34042.05961	790.51383
Znanstvena fantastika o slovenskem razvojnem preboju	1	26274.07285	610.12813
Airbnb gostitelji čez noč z mastnih dobičkov na čisto ničlo	1	55280.10963	1283.69705
Airbnbjevi gostitelji čez noč z mastnih dobičkov na čisto ničlo	1	54997.70805	1277.13921
Vneli so se telefoni: Obiskov v domovih za starejše v Mariboru danes ne bo, tudi med prazniki ne ...	1	51634.53885	1199.04077
Zaposleni DSO Ljutomer ministru Gantarju: &#34;Kako si sploh upate, kaj vas res ni sram&#34; - Vestnik.si	1	110136.0752	2557.54476
FOTO:Tekaški trener Urban Praprotnik: &#34;Čas je za butične oblike športne rekreacije&#34;	1	36556.20153	848.89643
FOTO:O mladostnih grehih in škafovskih pesmih	1	384492.90538	8928.57143
Ob očitkih o sodelovanju NSi in Gibanja Svoboda besedni spopad Janše in Tonina	1	90279.25661	2096.43606
Gorenjski glas | Izpovedi samote Braneta Zadnika	1	160683.60225	3731.34328
Pri stotih letih še rešuje križanke	1	80794.00638	1876.17261
Duhovnik, ki ljudi &#34;posluša v vsakdanjih težavah	1	61256.3377	1422.47511
Svet24.si - Počivalšek o &#34;hčeri orožarske afere&#34;: nekatera dejstva bodo za avtorje tudi neprijetna	1	43498.18728	1010.10101
15 skrivnosti in nasvetov kuharskih mojstrov Marko Pavčnik	1	46404.31617	1077.58621
"Šumi Golobu / ""Ne slepimo se ‒ ko vaš odvetnik govori o našem delu, govori v vašem imenu"""	1	80642.70675	1872.65918
[Video] Govor, ki si ga velja zapomniti za vse večne čase: Tanja Fajon pred Evropskim parlamentom tako blati svojo domovino! | Nova24TV	1	84272.41762	1956.94716
15 skrivnosti in nasvetov kuharskih mojstrov: Ana Roš	1	39435.16978	915.75092
15 skrivnosti in nasvetov kuharskih mojstrov: Luka Jezeršek - Odprta kuhinja	1	45666.17752	1060.44539
Počivalšek meni, da interpelacija ni smiselna in svoja ravnanja označuje za optimalna, ni pa proti, da se raziščejo	1	43063.2054	1000
Slovencem ob prazniku čestitali hrvaški zvezdniki	1	265822.25557	6172.83951
Povračilo nadomestila plače - na račun danes ali 30. junija! -	1	82813.85654	1923.07692
Roza: Opazen osip gledalcev pomeni, da težava presega nezadovoljstvo dveh uslužbencev | MLADINA.si	1	55280.10963	1283.69705
DVOMOV NI VEČ! Bodo na tekmi Olimpija - Maribor PRISOTNI GLEDALCI!? Odločitev je dvignila OGROMNO PRAHU!	1	105806.40148	2457.00246
Fajonova spravne poteze predsednika Pahorja in italijanskega predsedni	1	60652.40198	1408.4507
Kakšno zavajanje: Dvigovanju prahu s strani ZZB NOB Slovenije okrog dr	1	59644.32881	1385.04155
Gana povabila črnce, ki v ZDA protestirajo zaradi rasizma, naj se &quo	1	101564.16369	2358.49057
Subvencije za zaposlovanje tudi v letu 2020 - Podjetništvo | Data d.o.o.	1	64562.52684	1499.25037
15 Skrivnosti in nasvetov kuharskih mojstrov: Uroš Štefelin	1	43942.04633	1020.40816
V Lenartu je potekal glavni zbor Zveze veteranov vojne za Slovenijo	1	35153.63706	816.32653
Med Scholzem in Merzem se je zaiskrilo ob migracijski politiki	1	99683.34584	2314.81481
Netanjahu bi z novimi sporazumi z arabskimi državami dramatično spremenil regijo	1	119288.65763	2770.0831
Pahor sprejel svojce padlih in ranjene v osamosvojitveni vojni (FOTO) | Revija Reporter	1	99453.13026	2309.46882
Leljak Titovo cesto znova preimenoval v Cesto osamosvojitve | MLADINA.si	1	72864.98376	1692.04738
Hrvati in Hrvatice v posnetku čestitali Slovencem ob prazniku	1	156593.47419	3636.36364
Protesti zaradi nove sestave odbora za državne proslave	1	105289.01076	2444.98778
Ne spreglejte: zanjo si je vredno vzeti minuto!	1	43542.16926	1011.12235
Hrvatice in Hrvati z video čestitkami ob slovenskem dnevu državnosti	1	114835.21441	2666.66667
Koordinacija veteranskih organizacij nasprotuje novi sestavi odbora za državne proslave	1	75549.48316	1754.38596
Brglezovo naj bi na čelu ormoškega Zavoda za turizem nasledil Vršič	1	287088.03602	6666.66667
Peticija znanih Mariborčanov: Minister Hojs, razveljavite odločitev	1	154903.61656	3597.1223
(FOTO IN VIDEO) Jevšek: &#34;Proslava ne more biti naša ali vaša, ker Slovenija je samo naša&#34; - Vestnik.si	1	176488.54673	4098.36066
Moja zgodba je dokaz, da tudi v tišini lahko zrastejo najglasnejše sanje	1	34868.99223	809.7166
Šarec: &#34;Stvari so šle daleč ... predaleč&#34;	1	134572.51688	3125
Nasmehi mojih deklet so obsijali vso Slovenijo, hvala jim! - Ekipa	1	35297.70935	819.67213
Banalne konkretnosti in visoki ideali	1	40895.73163	949.66762
Dovoljenje za stalno prebivanje - kdaj ga lahko tujec pridobi? - Data d.o.o.	1	53494.6651	1242.23602
Mag. Matej Tonin za Demokracijo: Ključni izziv vlade bo zajezitev morebitnega drugega vala epidemije in zagotovitev čim bolj normalnega življenja za državljane - demokracija.si	1	64465.87635	1497.00599
Protestniki pod Triglavom srečali Janšo, Hojsa in Tonina | MLADINA.si	1	98093.86197	2277.90433
Zlatomašnik Metod Lampe	1	48277.1361	1121.07623
Dan, ko se je začelo kovati zlato za Iva Daneva (VIDEO)	1	47741.91286	1108.64745
Svet24.si - Strokovnjak, v katerem vidijo operativca globoke države	1	32112.75571	745.71216
"Dr. Roman Globokar: ""Enačiti, da je leva opcija proti Cerkvi, desna pa za Cerkev, je popolnoma neustrezno."" (2. del) - Domovina"	1	12729.29512	295.59563
&#34;Zadnji dve leti Reporter berem kot knjigo, od Šurle pa vse do Sunčičeve. Želim si, da ta profilirana smer ostane tudi v bodoče.&#34; | Revija Reporter	1	241928.12024	5617.97753
(INTERVJU) Praslovan - biografski film o Zoranu Predinu, ki vas bo presenetil: Počnem vse, kar sodi v opis antizvezde	1	17115.74142	397.45628
Pot domov, ali kam? - Časnik	1	24607.54594	571.42857
Delam slabo ...	1	18625.95389	432.52595
Večer o blatenju policije (2. 7.)	1	197537.63946	4587.15596
&#34;Zadnji dve leti Reporter berem kot knjigo, od Šurle pa vse do Sunčičeve. Želim si, da ta profilirana smer ostane tudi v bodoče.&#34; - Vestnik.si	1	186420.80261	4329.00433
Poglejte, kakšen poligon za urjenja so dobili gasilci (FOTO)	1	27657.80694	642.26076
Ustanovitev podjetja, ustanovitev s.p., popoldanski s.p. - mladipodjetnik.si	1	23687.13168	550.05501
Težave zaradi strupenega dima, cestno podjetje odstranjuje table: 'Pomagajmo jim naravnost v pekel'	1	63142.52992	1466.27566
Znana Slovenka pozabila, da se bliža petdesetim - Vestnik.si	1	12435.23113	288.76697
Strokovnjak, v katerem vidijo operativca globoke države - Vestnik.si	1	33460.14406	777.00078
&#34;Izmenjava med Italijo in Slovenijo je zelo velika&#34;	1	44122.13668	1024.59016
Verena Perko: Izraz žličkarji odraža odnos javnosti do arheoloških raziskav	1	14747.67308	342.46575
FOTO:Westminstrskim mačkam ni lahko	1	384492.90538	8928.57143
V Desusu ne podpirajo sprememb medijskega zakona, Janša bo popenil	1	56736.76601	1317.52306
V centru Ljubljane za in proti splavu (FOTO) | Revija Reporter	1	70827.64046	1644.73684
DeSUS ne podpira sprememb medijske zakonodaje	1	80642.70675	1872.65918
&#34;Neizmerno srečo imam, da sem plačan za stvar, ki jo počnem najraje na svetu&#34;	1	31273.20654	726.21641
(VIDEO) Zelenski pri vojakih v strateškem Kupjansku, ki naj bi bil po navedbah Moskve v ruskih rokah ...	1	147476.73083	3424.65753
Na Mauritiusu tisoči na protestih po katastrofalnem izlitju nafte	1	135418.88491	3144.65409
"KPK nad Goloba: ""Stopnjuje se preko meje dopustnega!"""	1	78870.33957	1831.50183
Pivčeva: DeSUS ne podpira predlaganih sprememb medijske zakonodaje (dopolnjeno)	1	64369.5148	1494.76831
Pri Muri so se posipali s pepelom: Navijači, oprostite!	1	60823.73644	1412.42938
Obup na levici: kje je kdo, ki bi zamenjal Janšo?	1	55422.40078	1287.00129
Epidemija, nezaupanje in histerija	1	26370.60955	612.36987
Pahor: Že jeseni bomo na novi človeški, socialni in politični preizkušnji	1	117659.03115	2732.24044
Nad naše kraje prihajajo padavine in nevihte	1	154903.61656	3597.1223
Gorenjski glas | Žitov znak zanesljivega dobavitelja odraža kakovostno oskrbo z živili	1	129318.93514	3003.003
Zakaj ne bom kandidiral za arbitra? - Časnik	1	114226.00903	2652.51989
Pahor na odprtju Managerskega kongresa 2020: &#34;Verjamem, da je v povezovanju in sodelovanju naša moč&#34;	1	124101.45649	2881.84438
[Povzetki leta] Govor Romane Tomc, ki je spremenil mnenje Evrope o Robertu Golobu | Nova24TV	1	53362.08848	1239.15737
Kako iskati dobro tudi pri nasprotnikih	1	77451.80828	1798.56115
Prihodnji teden volitve za predsednika AZS, močna podpora za Boštjančiča	1	110987.64279	2577.31959
Tudi sindikati naj gredo s časom naprej	1	39112.81145	908.26521
SDS: &#34;Skrajen čas, da storimo enoten zrel civilizacijski korak, da vsi skupaj obsodimo vse tri totalitarizme&#34; | Nova24TV	1	114835.21441	2666.66667
Bojan Dobovšek: Problem je, če tisti, ki vlada, obvladuje medije. Še večji pa, če mediji obvladujejo vlado. (1. del)	1	16020.53772	372.02381
Pošljemo vam razglednico	1	328726.7588	7633.58779
Celjani odgovarjajo na obtožbe Koprčanov: Da smo jim ukradli igralca? Oni so nam ...	1	130494.56183	3030.30303
Rosvita Pesek: Osamosvojitev je tema, polna velikih zgodb	1	47012.23297	1091.70306
Svet24.si - Tisti, ki obvladujejo podatke, obvladujejo svet	1	18387.36354	426.98548
&#34;Dober strip prikazuje svet precej bolj kompleksno, pa čeprav 'le' v črno-beli likovni govorici&#34;	1	33408.22762	775.79519
Z otrokom na edinstven način odkrijte Slovenijo	1	157740.67913	3663.00366
Nika Ambrožič Urbas: &#34;Odnos Slovenk do lastnega videza se je občutno izboljšal&#34;	1	20955.3311	486.618
Volilni glasovi so se presipavali na ameriških predsedniških volitvah	1	88607.41852	2057.61317
Pri gospodarskem okrevanju bo ključna vloga bank	1	70479.87791	1636.66121
Strokovnjak, v katerem vidijo operativca globoke države	1	33934.75603	788.02206
Kako izbrati pravi kamin, da vas pozimi ne bo zeblo?	1	43410.48932	1008.06452
