method name: freqs			
corpus: trendi			
subcorpus: -			
concordance size: 2980			
"query: Query:([lemma=""""naš""""][]{1,3}[lemma=""""vaš""""])|([lemma=""""vaš""""][]{1,3}[lemma=""""naš""""])within<s/>"			
text.topic	Frequency	Relative density	Relative in text types
2023-05	52	144.9067	3.36498
2021-02	50	141.36833	3.28281
2020-04	50	151.28571	3.51311
2023-03	49	129.34842	3.00369
2022-10	48	123.839	2.87575
2022-12	48	145.32305	3.37465
2023-10	48	138.93842	3.22638
2021-06	48	157.52811	3.65807
2022-09	47	125.00118	2.90274
2021-11	47	136.02887	3.15882
2021-12	46	131.33579	3.04984
2022-02	46	134.32505	3.11925
2025-06	45	128.60791	2.98649
2024-08	45	143.44123	3.33095
2023-09	44	130.38484	3.02776
2021-08	43	136.16299	3.16193
2022-05	42	111.35026	2.58574
2026-05	42	122.85143	2.85282
2025-02	41	110.51744	2.5664
2022-08	40	121.07165	2.81149
2019-01	40	130.93195	3.04046
2024-07	38	122.43825	2.84322
2022-11	38	106.67056	2.47707
2022-01	38	105.05669	2.43959
2023-12	38	111.13925	2.58084
2023-06	38	107.71498	2.50132
2023-02	38	115.87921	2.69091
2024-02	37	106.91849	2.48283
2021-03	36	93.14226	2.16292
2022-07	35	105.8903	2.45895
2020-06	35	113.80218	2.64268
2019-09	35	128.16556	2.97622
2023-04	34	102.85004	2.38835
2025-03	34	78.09152	1.81342
2021-09	34	95.23438	2.2115
2025-12	33	108.47095	2.51888
2024-04	33	96.96041	2.25158
2019-10	32	107.29981	2.49168
2019-03	32	108.11724	2.51066
2020-03	32	97.18535	2.25681
2021-05	31	90.4928	2.10139
2022-06	31	87.29182	2.02706
2026-02	30	96.20635	2.23407
2021-04	30	88.91159	2.06468
2020-11	30	82.65156	1.91931
2019-12	30	110.19727	2.55897
2025-10	29	82.54444	1.91682
2021-01	28	75.16531	1.74546
2024-10	27	66.67125	1.54822
2024-12	27	74.44193	1.72867
2020-07	26	87.83742	2.03973
2020-08	25	92.44017	2.14662
2025-11	24	73.79036	1.71354
2025-01	24	63.19937	1.4676
2024-05	23	64.40542	1.4956
2020-12	23	60.52715	1.40554
2020-09	23	69.19996	1.60694
2019-05	22	73.93188	1.71682
2024-06	22	63.22838	1.46827
2019-07	22	81.41787	1.89066
2020-10	21	58.34652	1.3549
2024-03	21	57.95439	1.3458
2025-09	20	52.4693	1.21843
2023-01	20	57.83651	1.34306
2024-01	20	55.62389	1.29168
2019-06	20	71.82682	1.66794
2019-02	20	74.52344	1.73056
2019-08	19	80.26741	1.86394
2024-11	19	48.10553	1.11709
2026-01	18	56.17188	1.30441
2020-01	17	62.56872	1.45295
2021-07	16	57.45431	1.33419
2023-11	16	44.45824	1.0324
2026-03	16	44.48427	1.033
2019-04	16	57.83742	1.34308
2023-07	15	54.97275	1.27656
2026-04	15	47.83355	1.11078
2023-08	13	42.35891	0.98365
2024-09	13	34.40602	0.79897
2020-02	13	49.21924	1.14295
2019-11	12	40.64297	0.9438
2025-08	11	37.22055	0.86432
2025-07	7	20.78052	0.48256
text.date	Frequency	Relative density	Relative in text types
2024-08-24	25	2920.99688	67.83046
2022-03-15	22	1796.09632	41.70838
2022-04-13	18	1171.13816	27.1958
2021-11-12	16	1100.3125	25.55111
2022-03-16	16	1120.0649	26.00979
2021-10-15	15	1011.53189	23.48947
2022-03-04	14	1065.83047	24.75037
2022-08-25	14	1077.1822	25.01398
